lon,lat,soc_obs
122.34,53.56,12.46448
122.34,53.56,10.22008
122.34,53.56,12.0156
122.34,53.56,9.65712
122.27,53.4,20.6272
122.27,53.4,23.782
122.27,53.4,31.692
122.27,53.4,31.1512
122.27,53.4,19.8352
122.27,53.4,14.0146
122.27,53.4,28.7114
122.73,52.86,24.92912
122.73,52.86,24.0204
122.3,53.45,10.85432
122.3,53.45,8.80304
122.3,53.45,10.17648
122.28,53.45,18.60064
122.28,53.45,5.18592
122.28,53.45,20.92424
122.28,53.45,6.438
122.28,53.45,14.48624
122.28,53.45,11.17696
123.17,52.89,147.408
123.75,44.75,7.98
123.75,44.75,8.23536
123.75,44.75,7.70868
123.75,44.75,9.31798
123.75,44.75,7.72464
123.75,44.75,8.26728
123.75,44.75,9.08124
123.52,44.55,2.84148
123.52,44.55,3.24648
123.52,44.55,3.83616
123.52,44.55,2.60172
123.52,44.55,2.66976
123.52,44.55,2.95812
123.52,44.55,1.9116
123.52,44.55,1.79172
123.52,44.55,1.5552
123.52,44.55,1.85976
123.52,44.55,1.67508
123.52,44.55,1.37052
123.52,44.55,2.23236
123.52,44.55,2.18052
123.52,44.55,1.67508
123.52,44.55,4.86972
123.52,44.55,4.49712
123.52,44.55,3.95604
123.52,44.55,4.80168
123.52,44.55,3.83616
123.52,44.55,2.66976
123.75,44.75,20.38092
123.75,44.75,11.22254
123.75,44.75,12.4222
123.75,44.75,8.26728
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.96188
122.48,42.7,0.992
122.48,42.7,0.83
122.48,42.7,0.904
122.48,42.7,0.624
122.48,42.7,0.814
122.48,42.7,0.808
122.48,42.7,0.804
126.67,44.67,8.4854
132.33,45.37,10.18272
132.33,45.37,9.52896
132.33,45.37,10.17364
123.73,44.73,3.676
123.73,44.73,3.24
123.73,44.73,2.766
123.75,44.75,8.00128
123.75,44.75,8.25664
123.75,44.75,7.74592
123.75,44.75,9.34458
123.75,44.75,7.74592
123.75,44.75,8.25664
123.75,44.75,9.08922
123.75,44.75,6.1446
123.75,44.75,6.39996
123.75,44.75,5.63388
123.75,44.75,5.63388
123.75,44.75,5.8254
123.75,44.75,5.57004
123.75,44.75,6.33612
133.52,47.58,19.76
133.52,47.58,14.342
133.52,47.58,17.136
133.52,47.58,19.296
133.52,47.58,19.304
133.52,47.58,14.55
133.52,47.58,17.4
133.52,47.58,18.626
132.67,46.69,13.2867
132.67,46.69,16.98744
132.67,46.69,20.51724
132.67,46.69,13.2867
132.67,46.69,16.98744
132.67,46.69,20.51724
132.67,46.69,13.2867
132.67,46.69,16.98522
132.67,46.69,20.51724
132.67,46.69,6.82872
132.67,46.69,9.23076
132.67,46.69,14.92284
132.67,46.69,7.0818
132.67,46.69,9.73692
132.67,46.69,15.67986
132.67,46.69,7.20834
132.67,46.69,9.73692
132.67,46.69,15.67986
132.33,45.38,89.37104
132.33,45.38,89.37104
132.33,45.38,101.02896
132.33,45.38,97.53104
125.37,48.28,11.31768086
125.37,48.28,7.956960603
125.37,48.28,9.126480691
125.37,48.28,7.320720555
125.38,43.98,4.8412
123.72,44.62,3.49272
123.57,44.25,1.9376
123.57,44.25,1.9592
123.57,44.25,2.19696
123.57,44.25,1.88892
123.57,44.25,2.5893
123.57,44.25,1.7632
123.57,44.25,1.74
123.57,44.25,1.83864
123.57,44.25,1.96768
123.57,44.25,1.64328
123.57,44.25,2.13192
123.57,44.25,1.42352
126.63,47.43,6.2014
125.12,48.95,12.27030162
125.16,48.99,7.969837587
125.3,49,7.803238979
125.3,49,7.810588167
125.3,49,10.52388863
125.3,49,6.084301624
123.85,45.6,2.436
123.85,45.6,3.332
123.85,45.6,2.856
123.85,45.6,4.256
123.85,45.6,4.914
123.75,44.75,2.0615
123.75,44.75,2.41794
123.75,44.75,2.31952
123.75,44.75,1.75826
123.75,44.75,2.88876
123.75,44.75,2.34612
123.75,44.75,2.34612
123.75,44.75,2.6334
123.85,45.6,3.6442
123.85,45.6,3.0856
123.85,45.6,2.5536
134.22,48.17,13.72488399
134.22,48.17,12.31298144
134.22,48.17,10.90458237
125.14,51.13,51.51288
125.14,51.13,53.36214
125.14,51.13,42.33096
123.85,45.6,3.1654
123.85,45.6,2.7132
123.85,45.6,4.0432
123.85,45.6,5.0274
133.52,47.58,12.77696
133.52,47.58,14.8112529
133.52,47.58,25.23665893
133.52,47.58,33.88259861
133.52,47.58,21.84048724
124.43,46.53,4.309976798
124.43,46.53,3.284686775
124.43,46.53,4.339675174
124.43,46.53,3.734338747
124.43,46.53,3.452088167
124.43,46.53,3.531786543
124.43,46.53,2.481438515
124.43,46.53,3.293039443
125.82,46,3.859512761
125.82,46,3.845359629
125.82,46,3.279582367
125.82,46,4.707540603
125.82,46,2.592459397
125.82,46,3.539211137
125.82,46,3.216241299
124.83,47.13,1.447795824
124.83,47.13,1.588051044
124.83,47.13,1.254640371
124.83,47.13,1.227146172
124.83,47.13,1.63712297
124.83,47.13,1.351276102
124.83,47.13,2.367285383
124.83,47.13,1.86774942
124.81,45.24,0.27324
124.81,45.24,0.207
124.71,45.19,3.43944
124.71,45.19,3.09366
124.81,45.24,1.656
124.81,45.24,0.83628
125.86,46.62,1.27836
125.86,46.62,1.0676
125.86,46.62,2.5575
125.86,46.62,2.14506
125.86,46.62,1.71444
124.85,45.6,2.436
124.85,45.6,3.332
124.85,45.6,2.856
124.85,45.6,4.256
124.85,45.6,4.914
134.33,48,9.07456
133.67,47.78,14.5248
133.68,47.78,8.246774942
133.68,47.78,5.365846868
133.52,47.58,11.09388
133.52,47.58,11.67782
133.62,47.76,10.60272
133.62,47.76,8.10744
133.67,47.78,9.00048
133.52,47.58,2.89044
133.52,47.58,2.27772
133.52,47.58,1.46076
133.67,47.76,13.97264
133.52,47.58,21.23208
133.52,47.58,14.41224
133.67,47.78,17.2992
133.67,47.78,6.9088
133.67,47.78,17
133.67,47.78,4.7872
133.67,47.78,6.7456
133.67,47.78,4.08
133.67,47.78,4.6512
133.67,47.78,3.2368
133.67,47.78,17.29104
133.67,47.78,6.91424
133.67,47.78,17.00544
133.67,47.78,4.77904
133.67,47.78,6.75648
133.67,47.78,4.07456
133.67,47.78,4.6512
133.67,47.78,3.24768
132.25,46.77,3.72036
132.25,46.77,5.388
132.25,46.77,8.93368
132.25,46.77,7.8804
132.25,46.77,4.74984
132.25,46.77,6.4776
132.25,46.77,7.42284
132.25,46.77,8.097
132.14,46.71,9.0465
132.14,46.71,8.48262
132.14,46.71,6.86868
132.17,46.7,9.75246
132.17,46.7,6.88422
132.17,46.7,5.13042
132.17,46.7,10.23864
132.17,46.7,10.80252
132.17,46.7,9.14196
132.19,46.72,9.79908
132.19,46.72,7.16616
132.19,46.72,5.08158
133.52,47.58,9.546
133.52,47.58,6.1272
133.48,47.58,11.94108
133.48,47.58,11.66022
133.48,47.58,13.28498
133.48,47.58,15.35972
133.48,47.58,12.78064
133.48,47.58,17.20796
133.48,47.58,4.37296
133.48,47.58,9.47374
133.48,47.58,13.39672
133.48,47.58,13.00412
133.52,47.58,13.52868
133.52,47.58,8.76012
133.63,47.58,14.34198
133.63,47.58,7.93354
133.52,47.58,59.6958
133.52,47.58,23.4432
133.75,47.25,20.59272
133.72,47.35,18.53256
133.58,47.77,22.83422
133.52,47.58,12.1101
133.52,47.58,10.48506
133.52,47.58,10.101
133.52,47.58,10.17204
133.52,47.58,10.03662
133.52,47.58,10.14762
133.52,47.58,10.22532
133.5,47.58,9.54924
133.5,47.58,8.87276
133.5,47.58,9.2412
133.5,47.58,8.29292
133.5,47.58,9.70326
133.5,47.58,8.39258
133.5,47.58,9.44052
133.5,47.58,8.49224
133.5,47.58,10.03848
133.5,47.58,9.44958
133.5,47.58,28.94066
133.5,47.58,14.99128
133.5,47.58,28.15848
133.5,47.58,16.42578
133.5,47.58,27.3763
133.5,47.58,16.42578
133.5,47.58,28.67792
133.5,47.58,15.12114
133.5,47.58,28.94066
133.5,47.58,16.03318
133.52,47.58,10.6944
133.52,47.58,7.48764
133.52,47.58,7.45092
133.52,47.58,5.22174
133.52,47.58,6.5533
133.52,47.58,3.9984
133.52,47.58,28.9377
133.52,47.58,10.14096
133.52,47.58,9.88344
133.52,47.58,10.2786
133.52,47.58,8.46708
133.52,47.58,21.1011
133.52,47.58,9.7902
133.52,47.58,5.8275
133.88,47.53,15.5228
133.88,47.53,4.4545
133.51,47.54,17.91096
133.51,47.54,3.53202
133.52,47.58,7.44864
133.52,47.58,4.4083
133.52,47.58,11.61
133.52,47.58,8.47576
133.52,47.58,7.9534
133.52,47.58,10.86408
133.52,47.58,10.948
133.52,47.58,71.4618
133.52,47.58,59.1741
133.52,47.58,54.0681
133.52,47.58,17.9376
128.47,42.4,44.69598816
128.47,42.4,24.2424
128.47,42.4,14.8296
128.47,42.4,12.19518816
128.47,42.4,6.0384
128.47,42.4,3.61121184
128.47,42.4,2.27921184
128.47,42.4,40.5816
128.47,42.4,25.01201184
128.47,42.4,20.6016
128.47,42.4,16.13201184
128.47,42.4,13.70478816
128.47,42.4,9.73841184
128.47,42.4,10.09361184
124.9,41.83,14.94798816
124.9,41.83,10.27121184
124.9,41.83,14.7408
124.9,41.83,10.95198816
124.9,41.83,13.82321184
124.9,41.83,10.89281184
128.47,42.4,60.23598816
128.47,42.4,37.53281184
128.47,42.4,22.34801184
128.47,42.4,14.41518816
128.47,42.4,4.32161184
128.47,42.4,2.24958816
128.47,42.4,1.4208
