FT,ET,MT,stock,pH,MBC,MAT,MAP,NDSI,NDVI
Permafrost,Wetland,NM,66.304,4.1,0.074927073,-3.9,452,10.8541002,0.448005
Permafrost,Wetland,ER,125.230792,4.19,0.072602288,-3.6,498,12.6618004,0.485953
Permafrost,Wetland,ER,112.89736,4.88462,0.073344063,-5,430,12.7136002,0.376985
Permafrost,Wetland,EM,8.762160664,4.57,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.392400257,4.67,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,8.762160664,4.86,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.03864023,4.98,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,9.327120707,4.81,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.886080294,4.88,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,13.250161,4.87,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.841760367,5.12,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,9.044640685,4.97,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.674880278,5.13,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,10.14024077,4.8,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.48800034,4.91,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,10.38840079,4.94,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.746160284,5.01,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,10.81344082,4.92,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.311120327,5.04,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,11.55528088,5.04,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.947360375,5.09,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,10.45968079,4.99,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.382400332,5.14,0.085223691,-4.1,490,11.0199003,0.404515
Permafrost,Wetland,EM,8.091600613,4.76,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,3.640560276,4.82,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,7.489680567,4.84,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,3.144240238,4.95,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,7.455360565,5.05,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,2.933040222,5.1,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,10.5652808,4.77,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,4.770480361,4.85,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,7.809120592,4.95,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Wetland,EM,3.286800249,5.05,0.085239006,-4.1,490,11.0199003,0.401434
Permafrost,Forest,EM,15.8083212,4.8,0.079289765,-2.2,472,13.9197998,0.25754
Permafrost,Forest,EM,6.098400462,5.21,0.079289765,-2.2,472,13.9197998,0.25754
Permafrost,Forest,EM,19.6544,5.6,0.071373,-3,500,18.7884007,0.352986
Permafrost,Forest,EM,5.21848,5.49,0.071373,-3,500,18.7884007,0.352986
Permafrost,Wetland,EM,14.272,5.2,0.008100224,-3.9,452,10.8541002,0.448005
Permafrost,Wetland,ER,110.556,4.5,0.992784,-3.9,452,12.1788998,0.430922
Permafrost,Wetland,EM,9.345600708,4.98,0.085223691,-4.9,490,11.0199003,0.404515
Permafrost,Wetland,EM,3.247200246,5.13,0.085223691,-4.9,490,11.0199003,0.404515
Permafrost,Wetland,EM,9.971280755,4.99,0.085223691,-4.9,490,11.0199003,0.404515
Permafrost,Wetland,EM,4.691280355,5.09,0.085223691,-4.9,490,11.0199003,0.404515
Permafrost,Wetland,EM,10.26432078,4.98,0.085239006,-4.9,490,11.0199003,0.401434
Permafrost,Wetland,EM,4.392960333,5.09,0.085239006,-4.9,490,11.0199003,0.401434
Seasonal,Wetland,NM,17.28346,6.1999998,0.5952571,1.9,558,24.4498997,0.304471
