log_stock60,Ecosystem
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.743527795,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.682746893,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.585372734,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.648385385,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.929223194,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.788638484,Grassland
,Grassland
,Forest
,Forest
,Forest
,Forest
1.531876107,Forest
,Forest
,Forest
,Grassland
,Grassland
,Grassland
,Grassland
1.369495267,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.465680212,Grassland
0.49248101,Grassland
0.505149978,Grassland
0.45484486,Grassland
0.467163966,Grassland
0.495266744,Grassland
0.490239485,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
0.806790272,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Wetland
,Wetland
1.586514166,Wetland
,Wetland
,Wetland
1.501976203,Wetland
,Wetland
,Wetland
1.554997659,Wetland
,Wetland
,Wetland
1.604177435,Wetland
,Wetland
,Wetland
1.570577962,Wetland
,Wetland
,Wetland
1.503613662,Wetland
,Wetland
,Wetland
1.558792542,Wetland
,Wetland
,Wetland
1.58305701,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Grassland
,Forest
,Forest
,Forest
,Forest
,Forest
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Forest
,Forest
,Grassland
,Forest
,Forest
,Forest
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Forest
,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Wetland
,Wetland
,Wetland
,Wetland
-0.176173783,Wetland
,Grassland
,Grassland
,Grassland
,Grassland
0.848957231,Grassland
,Wetland
,Wetland
,Wetland
,Wetland
0.314124348,Wetland
,Grassland
,Grassland
0.441638587,Grassland
,Forest
,Forest
0.549322118,Forest
,Forest
,Forest
0.715919817,Forest
,Forest
,Forest
0.699707678,Forest
,Forest
,Forest
0.612353586,Forest
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Forest
,Forest
,Wetland
,Wetland
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
