layer,Type,log_stock
0-20,Seasonal frozen ground,0.028408565
20-40,Seasonal frozen ground,0.171726454
40-60,Seasonal frozen ground,-0.004364805
0-20,Seasonal frozen ground,0.407815642
20-40,Seasonal frozen ground,0.28057837
40-60,Seasonal frozen ground,-0.134599882
0-20,Seasonal frozen ground,0.331439444
20-40,Seasonal frozen ground,0.265148139
40-60,Seasonal frozen ground,0.009467893
0-20,Seasonal frozen ground,0.234122291
20-40,Seasonal frozen ground,0.171726454
40-60,Seasonal frozen ground,-0.047449706
0-20,Seasonal frozen ground,0.386677284
0-20,Seasonal frozen ground,0.522704993
0-20,Seasonal frozen ground,0.455758203
0-20,Seasonal frozen ground,0.629001619
0-20,Seasonal frozen ground,0.691435152
0-20,Seasonal frozen ground,0.957825576
20-40,Seasonal frozen ground,0.363122888
0-20,Seasonal frozen ground,1.162110161
0-20,Seasonal frozen ground,0.916284143
0-20,Seasonal frozen ground,0.729638274
0-20,Seasonal frozen ground,1.045083464
0-20,Seasonal frozen ground,1.067361777
0-20,Seasonal frozen ground,1.025417293
0-20,Seasonal frozen ground,0.908883743
20-40,Seasonal frozen ground,0.748018929
0-20,Seasonal frozen ground,0.954265671
0-20,Seasonal frozen ground,0.460963959
0-20,Seasonal frozen ground,0.357500335
0-20,Seasonal frozen ground,0.164578868
0-20,Seasonal frozen ground,1.14527847
0-20,Seasonal frozen ground,1.326992542
0-20,Seasonal frozen ground,1.158731486
0-20,Seasonal frozen ground,1.23802602
0-20,Seasonal frozen ground,0.839402621
20-40,Seasonal frozen ground,0.615655515
0-20,Seasonal frozen ground,1.230448921
0-20,Seasonal frozen ground,0.680081572
20-40,Seasonal frozen ground,0.595760686
0-20,Seasonal frozen ground,0.829020585
0-20,Seasonal frozen ground,0.610660163
20-40,Seasonal frozen ground,0.537768739
0-20,Seasonal frozen ground,0.667565014
0-20,Seasonal frozen ground,0.510115865
20-40,Seasonal frozen ground,0.501387941
0-20,Seasonal frozen ground,1.237821115
0-20,Seasonal frozen ground,0.83974445
20-40,Seasonal frozen ground,0.61500683
0-20,Seasonal frozen ground,1.230587873
0-20,Seasonal frozen ground,0.679340666
20-40,Seasonal frozen ground,0.595760686
0-20,Seasonal frozen ground,0.829720496
0-20,Seasonal frozen ground,0.610080717
20-40,Seasonal frozen ground,0.535825584
0-20,Seasonal frozen ground,0.667565014
0-20,Seasonal frozen ground,0.511573231
20-40,Seasonal frozen ground,0.502230414
0-20,Seasonal frozen ground,0.570584966
0-20,Seasonal frozen ground,0.731427587
0-20,Seasonal frozen ground,0.951030392
0-20,Seasonal frozen ground,0.896548262
20-40,Seasonal frozen ground,1.176841072
20-40,Seasonal frozen ground,1.189641322
20-40,Seasonal frozen ground,1.341651321
20-40,Seasonal frozen ground,1.220505573
40-60,Seasonal frozen ground,1.25555808
40-60,Seasonal frozen ground,1.251034899
40-60,Seasonal frozen ground,1.235354694
40-60,Seasonal frozen ground,1.231036099
0-20,Seasonal frozen ground,0.676678981
0-20,Seasonal frozen ground,0.811414126
0-20,Seasonal frozen ground,0.870570099
0-20,Seasonal frozen ground,0.908324139
20-40,Seasonal frozen ground,0.98099906
20-40,Seasonal frozen ground,1.377300422
20-40,Seasonal frozen ground,1.227529357
20-40,Seasonal frozen ground,1.199996933
40-60,Seasonal frozen ground,1.163089782
40-60,Seasonal frozen ground,1.168407905
40-60,Seasonal frozen ground,1.174964106
40-60,Seasonal frozen ground,1.205169706
0-20,Seasonal frozen ground,0.956480588
0-20,Seasonal frozen ground,0.928530012
0-20,Seasonal frozen ground,0.836873284
0-20,Seasonal frozen ground,0.989114178
0-20,Seasonal frozen ground,0.837854741
0-20,Seasonal frozen ground,0.71015292
0-20,Seasonal frozen ground,1.010242273
0-20,Seasonal frozen ground,1.033525079
0-20,Seasonal frozen ground,0.961039317
0-20,Seasonal frozen ground,0.991185303
0-20,Seasonal frozen ground,0.855286501
0-20,Seasonal frozen ground,0.705998767
0-20,Seasonal frozen ground,0.97982143
0-20,Seasonal frozen ground,0.787262057
0-20,Seasonal frozen ground,1.077043608
0-20,Seasonal frozen ground,1.066706745
0-20,Seasonal frozen ground,1.123360905
0-20,Seasonal frozen ground,1.186383299
0-20,Seasonal frozen ground,1.106552602
0-20,Seasonal frozen ground,1.235729388
0-20,Seasonal frozen ground,0.640775505
0-20,Seasonal frozen ground,0.976521462
0-20,Seasonal frozen ground,1.12699848
0-20,Seasonal frozen ground,1.114080968
0-20,Seasonal frozen ground,1.131255424
0-20,Seasonal frozen ground,0.942510055
20-40,Seasonal frozen ground,0.785275723
20-40,Seasonal frozen ground,0.653388126
40-60,Seasonal frozen ground,0.573892271
40-60,Seasonal frozen ground,0.538251915
0-20,Seasonal frozen ground,1.156609113
0-20,Seasonal frozen ground,0.899467016
20-40,Seasonal frozen ground,0.530192012
20-40,Seasonal frozen ground,0.479572431
40-60,Seasonal frozen ground,0.590083553
40-60,Seasonal frozen ground,0.556688369
0-20,Seasonal frozen ground,1.775943777
0-20,Seasonal frozen ground,1.370016893
0-20,Seasonal frozen ground,1.313713714
0-20,Seasonal frozen ground,1.267935415
0-20,Seasonal frozen ground,1.358586181
0-20,Seasonal frozen ground,1.083147729
0-20,Seasonal frozen ground,1.02057092
0-20,Seasonal frozen ground,1.004364371
0-20,Seasonal frozen ground,1.007408059
0-20,Seasonal frozen ground,1.001587481
0-20,Seasonal frozen ground,1.006364196
0-20,Seasonal frozen ground,1.009676908
0-20,Seasonal frozen ground,0.979968809
0-20,Seasonal frozen ground,0.948058734
20-40,Seasonal frozen ground,0.544564097
40-60,Seasonal frozen ground,0.324463545
0-20,Seasonal frozen ground,0.965728369
0-20,Seasonal frozen ground,0.918707476
20-40,Seasonal frozen ground,0.568858538
40-60,Seasonal frozen ground,0.326520192
0-20,Seasonal frozen ground,0.986917669
0-20,Seasonal frozen ground,0.92389549
20-40,Seasonal frozen ground,0.687279192
40-60,Seasonal frozen ground,0.262527025
0-20,Seasonal frozen ground,0.974995917
0-20,Seasonal frozen ground,0.929022259
20-40,Seasonal frozen ground,0.721051792
40-60,Seasonal frozen ground,0.287922599
0-20,Seasonal frozen ground,1.001667958
0-20,Seasonal frozen ground,0.975412506
20-40,Seasonal frozen ground,0.648789214
40-60,Seasonal frozen ground,0.352406363
0-20,Seasonal frozen ground,1.461508431
0-20,Seasonal frozen ground,1.175838716
20-40,Seasonal frozen ground,0.482873584
40-60,Seasonal frozen ground,0.363224514
0-20,Seasonal frozen ground,1.449609208
0-20,Seasonal frozen ground,1.215526002
20-40,Seasonal frozen ground,0.571475904
40-60,Seasonal frozen ground,0.437560319
0-20,Seasonal frozen ground,1.437374751
0-20,Seasonal frozen ground,1.215526002
20-40,Seasonal frozen ground,0.482873584
40-60,Seasonal frozen ground,0.272709328
0-20,Seasonal frozen ground,1.457547649
0-20,Seasonal frozen ground,1.179584534
20-40,Seasonal frozen ground,0.555142835
40-60,Seasonal frozen ground,0.437560319
0-20,Seasonal frozen ground,1.461508431
0-20,Seasonal frozen ground,1.205019668
20-40,Seasonal frozen ground,0.462278176
40-60,Seasonal frozen ground,0.389442527
0-20,Seasonal frozen ground,1.029156424
0-20,Seasonal frozen ground,0.874344956
20-40,Seasonal frozen ground,0.647148153
20-40,Seasonal frozen ground,0.250478555
40-60,Seasonal frozen ground,0.134336511
0-20,Seasonal frozen ground,0.8722099
0-20,Seasonal frozen ground,0.717815244
20-40,Seasonal frozen ground,0.501407106
20-40,Seasonal frozen ground,0.35758041
40-60,Seasonal frozen ground,0.194580938
0-20,Seasonal frozen ground,0.81646005
0-20,Seasonal frozen ground,0.601886239
20-40,Seasonal frozen ground,0.455986239
20-40,Seasonal frozen ground,0.140972885
40-60,Seasonal frozen ground,0.144462117
0-20,Seasonal frozen ground,1.46146401
0-20,Seasonal frozen ground,1.00607907
0-20,Seasonal frozen ground,0.99490813
0-20,Seasonal frozen ground,1.011933965
0-20,Seasonal frozen ground,0.927733663
20-40,Seasonal frozen ground,0.557006452
0-20,Seasonal frozen ground,1.324305096
0-20,Seasonal frozen ground,0.990791564
0-20,Seasonal frozen ground,0.765482282
0-20,Seasonal frozen ground,1.190970062
0-20,Seasonal frozen ground,0.648798963
20-40,Seasonal frozen ground,0.570356106
40-60,Seasonal frozen ground,0.17405399
0-20,Seasonal frozen ground,1.253118864
0-20,Seasonal frozen ground,0.548023154
20-40,Seasonal frozen ground,0.23363058
40-60,Seasonal frozen ground,0.207666676
0-20,Seasonal frozen ground,0.872076985
0-20,Seasonal frozen ground,0.644271142
20-40,Seasonal frozen ground,0.392352194
20-40,Seasonal frozen ground,0.380374072
40-60,Seasonal frozen ground,0.265105684
0-20,Seasonal frozen ground,1.06483222
0-20,Seasonal frozen ground,0.928178651
20-40,Seasonal frozen ground,0.336475744
20-40,Seasonal frozen ground,0.560064522
40-60,Seasonal frozen ground,0.311058433
0-20,Seasonal frozen ground,0.900552825
0-20,Seasonal frozen ground,1.035992955
20-40,Seasonal frozen ground,1.161269751
20-40,Seasonal frozen ground,1.242474838
40-60,Seasonal frozen ground,0.83394991
0-20,Seasonal frozen ground,1.039334789
0-20,Seasonal frozen ground,1.854073951
0-20,Seasonal frozen ground,1.772131661
0-20,Seasonal frozen ground,1.732941108
20-40,Seasonal frozen ground,0.447201459
20-40,Seasonal frozen ground,0.067160162
0-20,Seasonal frozen ground,1.253764335
20-40,Seasonal frozen ground,0.479143248
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,1.650268543
0-20,Seasonal frozen ground,1.384575613
0-20,Seasonal frozen ground,1.171129437
0-20,Seasonal frozen ground,1.086188505
0-20,Seasonal frozen ground,0.780921878
0-20,Seasonal frozen ground,0.557652966
0-20,Seasonal frozen ground,0.357784692
0-20,Seasonal frozen ground,1.608329166
0-20,Seasonal frozen ground,1.398148626
0-20,Seasonal frozen ground,1.313900951
0-20,Seasonal frozen ground,1.207688532
0-20,Seasonal frozen ground,1.136872327
0-20,Seasonal frozen ground,0.988488137
0-20,Seasonal frozen ground,1.004046599
0-20,Seasonal frozen ground,1.174582745
0-20,Seasonal frozen ground,1.011621686
0-20,Seasonal frozen ground,1.168521054
0-20,Seasonal frozen ground,1.039492966
0-20,Seasonal frozen ground,1.140608964
0-20,Seasonal frozen ground,1.037140002
20-40,Seasonal frozen ground,0.86890294
20-40,Seasonal frozen ground,0.879898324
20-40,Seasonal frozen ground,0.851869601
20-40,Seasonal frozen ground,0.86890294
20-40,Seasonal frozen ground,0.911306789
20-40,Seasonal frozen ground,0.906227263
20-40,Seasonal frozen ground,-0.02974613
20-40,Seasonal frozen ground,0.131105162
20-40,Seasonal frozen ground,-0.015022874
20-40,Seasonal frozen ground,0.17995373
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,1.779856039
0-20,Seasonal frozen ground,1.574411102
0-20,Seasonal frozen ground,1.349238893
0-20,Seasonal frozen ground,1.158820316
0-20,Seasonal frozen ground,0.635645757
0-20,Seasonal frozen ground,0.352103018
0-20,Seasonal frozen ground,0.152532948
20-40,Seasonal frozen ground,-0.000782434
20-40,Seasonal frozen ground,-0.000782434
