layer,Type,log_stock
0-20,Seasonal frozen ground,1.252616167
0-20,Seasonal frozen ground,1.398610736
0-20,Seasonal frozen ground,1.252616167
0-20,Seasonal frozen ground,1.198263295
0-20,Seasonal frozen ground,1.262701627
0-20,Seasonal frozen ground,1.247484226
0-20,Seasonal frozen ground,1.540478636
0-20,Seasonal frozen ground,1.252616167
0-20,Seasonal frozen ground,1.335921436
0-20,Seasonal frozen ground,1.426835154
0-20,Seasonal frozen ground,1.242290916
0-20,Seasonal frozen ground,1.262701627
0-20,Seasonal frozen ground,1.198263295
0-20,Seasonal frozen ground,1.162107769
0-20,Permafrost,0.920553232
0-20,Permafrost,1.163852236
0-20,Permafrost,0.675140175
0-20,Permafrost,1.163852236
0-20,Permafrost,0.776340817
0-20,Permafrost,0.804891467
0-20,Permafrost,0.920553232
0-20,Permafrost,0.675140175
0-20,Permafrost,0.675140175
0-20,Permafrost,0.785158931
0-20,Permafrost,0.804891467
0-20,Permafrost,0.675140175
0-20,Permafrost,0.675140175
0-20,Permafrost,0.675140175
0-20,Permafrost,0.675140175
0-20,Permafrost,0.776340817
0-20,Permafrost,1.163852236
0-20,Permafrost,0.985644689
0-20,Permafrost,0.675140175
0-20,Permafrost,1.030194785
0-20,Permafrost,1.093981704
20-40,Permafrost,1.072617477
20-40,Permafrost,1.173535895
40-60,Permafrost,1.202760687
0-20,Permafrost,1.122019172
0-20,Permafrost,1.224377652
20-40,Permafrost,1.151614972
20-40,Permafrost,1.224688417
40-60,Permafrost,1.214419939
0-20,Permafrost,1.15192118
0-20,Permafrost,1.11320777
20-40,Permafrost,1.115011071
20-40,Permafrost,1.098712931
40-60,Permafrost,1.13481437
0-20,Permafrost,1.112605002
0-20,Permafrost,1.218220304
20-40,Permafrost,1.240049772
20-40,Permafrost,1.230039981
40-60,Permafrost,1.198437135
0-20,Permafrost,1.151431144
0-20,Permafrost,1.242789809
20-40,Permafrost,1.258301976
20-40,Permafrost,1.145631415
40-60,Permafrost,1.341038632
0-20,Permafrost,0.792593379
0-20,Permafrost,0.416593914
20-40,Permafrost,0.241506635
20-40,Permafrost,0.39814842
40-60,Permafrost,0.587899455
0-20,Permafrost,0.637393654
0-20,Permafrost,0.416314248
20-40,Permafrost,0.305351369
20-40,Permafrost,0.377626753
40-60,Permafrost,0.43342418
0-20,Permafrost,0.801176015
0-20,Permafrost,0.940941554
0-20,Seasonal frozen ground,1.030798763
0-20,Permafrost,1.61979524
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.706046161
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Permafrost,1.163703614
0-20,Seasonal frozen ground,1.20370413
0-20,Permafrost,0.534491376
