layer,Ecosystem,log_stock
0-20,Wetland,1.415267232
0-20,Wetland,1.3502771
0-20,Wetland,1.372021892
0-20,Wetland,1.060468926
0-20,Wetland,0.938183367
0-20,Forest,0.9007439
0-20,Forest,0.548870745
20-40,Forest,0.25411284
20-40,Forest,0.098048109
40-60,Forest,0.053861773
40-60,Forest,-0.068989877
0-20,Forest,1.089307988
0-20,Forest,0.568595931
20-40,Forest,0.317294287
20-40,Forest,0.051715775
40-60,Forest,0.011147361
40-60,Forest,-0.100398341
0-20,Forest,1.154707526
0-20,Forest,0.767534317
20-40,Forest,0.657602681
20-40,Forest,0.421899936
40-60,Forest,0.241257519
40-60,Forest,0.046643416
20-40,Forest,1.308090379
0-20,Wetland,1.484185944
0-20,Wetland,1.390040207
0-20,Wetland,2.01099495
20-40,Wetland,2.09067345
20-40,Wetland,2.041003225
0-20,Wetland,1.711623758
0-20,Wetland,1.727612495
20-40,Wetland,1.626430297
20-40,Wetland,1.65051809
0-20,Wetland,1.826610068
0-20,Wetland,1.571962023
20-40,Wetland,1.58342856
20-40,Wetland,1.515354631
0-20,Forest,0.547085225
0-20,Forest,0.878273589
0-20,Forest,1.167381178
0-20,Wetland,1.889178401
0-20,Wetland,1.79813941
0-20,Forest,1.924500317
0-20,Forest,1.899195117
0-20,Forest,1.833693596
20-40,Forest,1.768744361
20-40,Forest,1.592652089
40-60,Forest,1.348582832
40-60,Forest,0.608219866
0-20,Forest,2.052854551
0-20,Forest,2.019301339
0-20,Forest,1.943249026
20-40,Forest,1.824685225
20-40,Forest,1.647134608
40-60,Forest,1.39742199
40-60,Forest,0.61927244
0-20,Forest,0.996474887
0-20,Forest,0.962056891
0-20,Forest,0.956045542
20-40,Forest,1.016072244
20-40,Forest,0.945587552
40-60,Forest,0.968741767
40-60,Forest,0.886162613
0-20,Forest,1.844516441
0-20,Forest,1.718272573
0-20,Forest,1.867379418
20-40,Forest,1.924498508
20-40,Forest,1.805313561
40-60,Forest,1.611972048
40-60,Forest,1.964971808
0-20,Forest,1.730432067
0-20,Forest,1.701306121
20-40,Forest,1.77214198
20-40,Forest,1.727843076
0-20,Forest,1.484450321
0-20,Forest,1.366349429
20-40,Forest,1.167440887
20-40,Forest,1.07317097
0-20,Forest,1.360886113
0-20,Forest,0.981773382
20-40,Forest,0.809929536
20-40,Forest,0.700785066
0-20,Forest,0.894623206
0-20,Forest,0.718531947
20-40,Forest,0.596049716
20-40,Forest,0.633838277
0-20,Forest,1.454283965
0-20,Forest,1.180286549
20-40,Forest,1.05803782
40-60,Forest,0.989321789
0-20,Wetland,1.700526159
0-20,Wetland,1.572193743
20-40,Wetland,1.152824016
40-60,Wetland,1.117351984
0-20,Forest,1.388337628
0-20,Forest,1.247718149
20-40,Forest,0.975085211
40-60,Forest,0.934257223
0-20,Wetland,1.660723725
0-20,Wetland,1.582527317
20-40,Wetland,1.183968401
