log_stock60,Mycorrhiza
1.501976203,EcM
,EcM
,EcM
1.554997659,EcM
,EcM
,EcM
1.604177435,EcM
,NM
,NM
1.570577962,NM
,EcM
,EcM
1.503613662,EcM
,EcM
,EcM
1.558792542,EcM
,EcM
,EcM
1.58305701,EcM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,EcM
,EcM
,AM
,EcM
,EcM
,EcM
,AM
,AM
,AM
,AM
,AM
,EcM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,ErM
,ErM
,ErM
,ErM
,AM
,AM
,AM
,AM
,AM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
-0.176173783,AM
,AM
,AM
,AM
,AM
0.848957231,AM
,AM
,AM
,AM
,AM
0.314124348,AM
,AM
,AM
0.441638587,AM
,EcM
,EcM
0.549322118,EcM
,EcM
,EcM
0.715919817,EcM
,AM
,AM
0.699707678,AM
,EcM
,EcM
0.612353586,EcM
,AM
,AM
,AM
,AM
,AM
,EcM
,EcM
,NM
,NM
,EcM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,EcM
,AM
,AM
,AM
,NM
,NM
,NM
,NM
,NM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,NM
,NM
,NM
,NM
,NM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
1.615563642,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
1.583165322,AM
,AM
,AM
,NM
,NM
,NM
,AM
,AM
,AM
,AM
,AM
,AM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
1.302028809,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
1.257400633,NM
,NM
,NM
,NM
,AM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
,NM
1.171020481,NM
,NM
,NM
,NM
1.164161248,NM
,NM
,NM
,NM
1.197154801,NM
,NM
,NM
,NM
1.208648779,NM
,NM
,NM
,NM
1.216155078,NM
,NM
,NM
,NM
1.436383874,NM
,NM
,NM
,NM
1.458772724,NM
,NM
,NM
,NM
1.428374238,NM
,NM
,NM
,NM
1.45069134,NM
,NM
,NM
,NM
1.444633038,NM
,NM
,NM
,NM
,NM
,NM
1.131390552,NM
,NM
,NM
,NM
,NM
,NM
,NM
1.017603811,NM
,NM
,EcM
,EcM
,EcM
,EcM
,EcM
0.938406634,EcM
,EcM
,AM
,NM
,EcM
,NM
,NM
,NM
,NM
,NM
,EcM
,NM
,NM
,NM
1.181844445,NM
,NM
,NM
,EcM
,EcM
,EcM
1.147586983,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.00877726,EcM
,EcM
,EcM
,NM
,NM
,NM
,NM
1.175810324,NM
,NM
,NM
,AM
,AM
,AM
,AM
1.50810343,AM
,AM
,AM
,NM
,NM
,NM
,NM
,NM
,NM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,AM
,EcM
,EcM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
