layer,log_stock,MAP
0-20,,429
0-20,1.064318982,554
0-20,,569
0-20,0.685170018,554.8
0-20,0.979829241,564
0-20,1.131027402,566
0-20,0.454579643,486.1
0-20,0.675663532,554
0-20,1.099265531,583.1
0-20,1.028620311,544.8
0-20,,566
0-20,0.722255861,450
0-20,0.794661075,
0-20,0.733651492,429
0-20,0.920738135,440
0-20,,666.1
0-20,1.131027402,566
0-20,0.652708399,502
0-20,1.359100028,678
0-20,,800
0-20,,696
0-20,0.995176933,542
0-20,0.227284086,463
0-20,0.866417559,594
0-20,0.511216254,594
0-20,0.947404151,443.8
0-20,1.077987228,760
0-20,1.302940311,595
0-20,1.298082736,767
0-20,,628
0-20,0.738545133,737
0-20,1.103287691,1000
0-20,,767
0-20,0.315400434,737
0-20,1.231703698,423
0-20,0.520782835,377.9
0-20,0.368875537,378
0-20,0.452238394,790
0-20,0.783757712,810
0-20,,900
0-20,,780
0-20,,617
0-20,0.670917097,810
0-20,,590
0-20,0.717859636,800
0-20,,652
0-20,,690
0-20,-0.095652281,610
0-20,-0.449927789,620
0-20,0.573210943,650
0-20,,780
0-20,,500
0-20,,690
0-20,,940
0-20,,730
0-20,,1100
0-20,0.914722239,490
0-20,0.438947787,900
0-20,0.497205539,790
0-20,,630
0-20,0.362909114,670
0-20,0.719169726,810
0-20,0.589978094,505
0-20,0.380882485,740
0-20,0.335124995,630
0-20,,495
0-20,0.350432414,420
0-20,-0.044751014,480
0-20,,480
0-20,0.353590933,390
0-20,-0.024776168,470
0-20,0.841135815,600
0-20,0.775083924,620
0-20,2.03537754,425
0-20,1.942510055,704.2
0-20,1.863284783,425
0-20,1.860989259,380
0-20,1.010206641,625
0-20,1.344917433,490
20-40,1.303860603,490
0-20,1.297243897,490
20-40,1.192786497,490
0-20,1.178734135,490
20-40,1.1551714,490
0-20,2.017710978,465
20-40,2.031395859,465
0-20,1.799059201,558
20-40,1.15807528,558
0-20,1.871618114,450
0-20,2.015530338,450
0-20,1.280027168,480
0-20,1.033346541,480
20-40,0.945244585,480
0-20,1.848227998,450
0-20,1.510475732,450
20-40,1.387603561,450
0-20,,425
20-40,,425
0-20,1.14850394,450
0-20,1.14690287,450
20-40,1.086156163,450
20-40,0.942142043,450
0-20,1.082785087,442.95
20-40,1.245060268,442.95
0-20,0.981770601,442.9
0-20,1.011824096,442.9
0-20,0.949202585,442.9
0-20,0.991443169,442.9
0-20,0.804570104,442.9
0-20,0.805084715,442.9
0-20,1.360029639,450
0-20,1.246260195,450
20-40,1.267113506,450
0-20,1.095674165,450
0-20,1.009454295,450
20-40,0.544028336,450
0-20,1.079745462,450
0-20,0.984847628,450
20-40,0.988929777,450
0-20,1.314440279,490
0-20,1.376248375,490
0-20,1.500949647,490
0-20,1.493474781,490
0-20,1.297436584,490
0-20,1.146580707,490
0-20,1.45805437,490
0-20,1.396706948,460.8
