layer,log_stock,NDVI
20-40,1.151614972,0.41547
20-40,1.224688417,0.41547
0-20,1.15192118,0.41547
0-20,1.11320777,0.41547
20-40,1.115011071,0.41547
20-40,1.098712931,0.41547
0-20,1.112605002,0.41547
0-20,1.218220304,0.41547
20-40,1.240049772,0.41547
20-40,1.230039981,0.41547
0-20,1.151431144,0.41547
0-20,1.242789809,0.41547
20-40,1.258301976,0.41547
20-40,1.145631415,0.41547
0-20,0.792593379,0.48736
0-20,0.416593914,0.48736
20-40,0.241506635,0.48736
20-40,0.39814842,0.48736
0-20,0.637393654,0.48736
0-20,0.416314248,0.48736
20-40,0.305351369,0.48736
20-40,0.377626753,0.48736
0-20,0.801176015,
0-20,0.940941554,0.186295
0-20,1.030798763,0.314411
0-20,1.61979524,0.186295
0-20,,0.316096
0-20,,0.148082
0-20,,0.202958
0-20,0.706046161,0.34249
0-20,,0.327654
0-20,,0.148082
0-20,1.163703614,0.226952
0-20,1.20370413,0.368961
0-20,0.534491376,0.226952
0-20,1.211599963,0.254533
0-20,,0.199177
0-20,,0.300881
0-20,,0.148082
0-20,0.99997988,0.289258
0-20,1.20370413,0.368961
0-20,,0.182433
0-20,0.739225312,0.478229
0-20,0.316738754,0.326642
0-20,0.938904966,0.342232
0-20,0.628922061,0.323684
0-20,1.272180948,0.322507
0-20,0.769397923,0.279443
0-20,0.72437092,0.311892
0-20,,0.202958
0-20,,0.20981
0-20,0.979047433,0.322691
0-20,0.217728153,0.307246
0-20,0.727514839,0.33761
0-20,,0.154784
0-20,,0.149339
0-20,1.064318982,0.323684
0-20,,0.192382
0-20,0.685170018,0.264819
0-20,0.979829241,0.357383
0-20,1.131027402,0.230204
0-20,0.454579643,0.329959
0-20,0.675663532,0.30086
0-20,1.099265531,0.299923
0-20,1.028620311,0.269517
0-20,,0.266526
0-20,0.722255861,0.292438
0-20,0.794661075,0.292755
0-20,0.733651492,0.289395
0-20,0.920738135,0.307143
0-20,,0.178175
0-20,1.131027402,0.230204
0-20,0.652708399,0.314547
0-20,1.359100028,0.541445
0-20,,0.559276
0-20,,0.298389
0-20,0.995176933,
0-20,0.227284086,0.338388
0-20,0.866417559,0.490884
0-20,0.511216254,0.396082
0-20,0.947404151,
0-20,1.077987228,0.355144
0-20,1.302940311,0.41329
0-20,1.298082736,0.377559
0-20,,0.188968
0-20,0.738545133,0.324713
0-20,1.103287691,0.559276
0-20,,0.17674
0-20,0.315400434,0.307301
0-20,1.231703698,0.328069
0-20,0.520782835,0.329326
0-20,0.368875537,0.285716
0-20,0.452238394,0.433545
0-20,0.783757712,0.448471
0-20,,0.243205
0-20,,0.175434
0-20,,0.250371
0-20,0.670917097,0.433868
0-20,,0.216673
0-20,0.717859636,0.272967
0-20,,0.203221
0-20,,0.203221
0-20,-0.095652281,0.332768
0-20,-0.449927789,0.361601
0-20,0.573210943,0.540936
0-20,,0.373023
0-20,,0.270242
0-20,,0.203221
0-20,,0.232297
0-20,,0.269981
0-20,,0.303954
0-20,0.914722239,0.36221
0-20,0.438947787,0.472505
0-20,0.497205539,0.330155
0-20,,0.254171
0-20,0.362909114,0.266598
0-20,0.719169726,0.272967
0-20,0.589978094,0.325201
0-20,0.380882485,0.340262
0-20,0.335124995,0.312287
0-20,,0.270242
0-20,0.350432414,0.334419
0-20,-0.044751014,0.355526
0-20,,0.205498
0-20,0.353590933,0.304474
0-20,-0.024776168,0.262883
0-20,0.841135815,0.289208
0-20,0.775083924,0.312287
0-20,2.03537754,0.375928
0-20,1.942510055,0.345217
0-20,1.863284783,0.375928
0-20,1.860989259,0.608786
0-20,1.010206641,0.313394
0-20,1.344917433,0.343653
20-40,1.303860603,0.343653
0-20,1.297243897,0.467652
20-40,1.192786497,0.467652
0-20,1.178734135,0.345834
20-40,1.1551714,0.345834
0-20,2.017710978,0.421577
20-40,2.031395859,0.421577
0-20,1.799059201,0.30483
20-40,1.15807528,0.30483
0-20,1.871618114,0.393078
0-20,2.015530338,0.393078
0-20,1.280027168,0.470239
0-20,1.033346541,0.470239
20-40,0.945244585,0.470239
0-20,1.848227998,0.346361
0-20,1.510475732,0.346361
20-40,1.387603561,0.346361
0-20,,0.39863
20-40,,0.39863
0-20,1.14850394,0.396081
0-20,1.14690287,0.396081
20-40,1.086156163,0.396081
20-40,0.942142043,0.396081
0-20,1.082785087,0.404515
20-40,1.245060268,0.404515
0-20,0.981770601,0.393888
0-20,1.011824096,0.393888
0-20,0.949202585,0.393888
0-20,0.991443169,0.393888
0-20,0.804570104,0.393888
0-20,0.805084715,0.393888
0-20,1.360029639,0.429068
0-20,1.246260195,0.429068
20-40,1.267113506,0.429068
0-20,1.095674165,0.429068
0-20,1.009454295,0.429068
20-40,0.544028336,0.429068
0-20,1.079745462,0.429068
0-20,0.984847628,0.416314
20-40,0.988929777,0.416314
0-20,1.314440279,0.510347
0-20,1.376248375,0.510347
