layer,log_stock,NDSI
0-20,1.608329166,4.9912901
0-20,1.398148626,4.9912901
0-20,1.313900951,4.9912901
0-20,1.207688532,4.9912901
0-20,1.136872327,4.9912901
0-20,0.988488137,4.9912901
0-20,1.004046599,4.9912901
0-20,1.174582745,4.9774799
0-20,1.011621686,4.9774799
0-20,1.168521054,4.9774799
0-20,1.039492966,4.9774799
0-20,1.140608964,4.9774799
0-20,1.037140002,4.9774799
20-40,0.86890294,4.9774799
20-40,0.879898324,4.9774799
20-40,0.851869601,4.9774799
20-40,0.86890294,4.9774799
20-40,0.911306789,4.9774799
20-40,0.906227263,4.9774799
20-40,-0.02974613,2.00946
20-40,0.131105162,2.00946
20-40,-0.015022874,2.00946
20-40,0.17995373,2.00946
0-20,,11.3178997
0-20,,11.3178997
0-20,,11.3178997
0-20,1.779856039,4.9912901
0-20,1.574411102,4.9912901
0-20,1.349238893,4.9912901
0-20,1.158820316,4.9912901
0-20,0.635645757,4.9912901
0-20,0.352103018,4.9912901
0-20,0.152532948,4.9912901
20-40,-0.000782434,2.00946
20-40,-0.000782434,2.00946
