layer,log_stock,pH
20-40,1.230039981,7.0999999
0-20,1.151431144,6.6999998
0-20,1.242789809,6.6999998
20-40,1.258301976,7.0999999
20-40,1.145631415,7.0999999
0-20,0.792593379,6.31
0-20,0.416593914,6.72
20-40,0.241506635,5.87
20-40,0.39814842,6.72
0-20,0.637393654,5.79
0-20,0.416314248,6.94
20-40,0.305351369,7.46
20-40,0.377626753,7.38
0-20,0.801176015,6.1
0-20,0.940941554,6
0-20,1.030798763,5.1
0-20,1.61979524,5.8
0-20,,6.8
0-20,,5
0-20,,5
0-20,0.706046161,5.9
0-20,,6.1
0-20,,6.5
0-20,1.163703614,5.9
0-20,1.20370413,6.4
0-20,0.534491376,5.7
0-20,1.211599963,5.1
0-20,,4.6
0-20,,5.5
0-20,,6.7
0-20,0.99997988,6.8
0-20,1.20370413,6.4
0-20,,6
0-20,0.739225312,5.4
0-20,0.316738754,8
0-20,0.938904966,6.5
0-20,0.628922061,6.4
0-20,1.272180948,6.5
0-20,0.769397923,6.1
0-20,0.72437092,6.8
0-20,,7.4
0-20,,5.6
0-20,0.979047433,6
0-20,0.217728153,6
0-20,0.727514839,6.9
0-20,,6.3
0-20,,7.6
0-20,1.064318982,6
0-20,,6.5
0-20,0.685170018,6.8
0-20,0.979829241,6.2
0-20,1.131027402,6.6
0-20,0.454579643,6.9
0-20,0.675663532,6
0-20,1.099265531,5.4
0-20,1.028620311,6
0-20,,4.7
0-20,0.722255861,7.5
0-20,0.794661075,6.7
0-20,0.733651492,8.2
0-20,0.920738135,8.2
0-20,,6.2
0-20,1.131027402,6.6
0-20,0.652708399,5.6
0-20,1.359100028,4.7
0-20,,6
0-20,,6.1
0-20,0.995176933,6
0-20,0.227284086,7.5
0-20,0.866417559,6
0-20,0.511216254,5.7
0-20,0.947404151,6.1
0-20,1.077987228,5.5
0-20,1.302940311,5.3
0-20,1.298082736,5.3
0-20,,5.6
0-20,0.738545133,5.6
0-20,1.103287691,4.6
0-20,,7.3
0-20,0.315400434,5
0-20,1.231703698,5.2
0-20,0.520782835,7.8
0-20,0.368875537,7.5
0-20,0.452238394,6.4
0-20,0.783757712,5.8
0-20,,6.3
0-20,,6.3
0-20,,6.8
0-20,0.670917097,5.6
0-20,,6.8
0-20,0.717859636,5
0-20,,5.8
0-20,,6.5
0-20,-0.095652281,7
0-20,-0.449927789,7.5
0-20,0.573210943,6.4
0-20,,6.7
0-20,,7.8
0-20,,7
0-20,,6
0-20,,5.3
0-20,,6.4
0-20,0.914722239,7.9
0-20,0.438947787,6.2
0-20,0.497205539,6.4
0-20,,8.5
0-20,0.362909114,8.5
0-20,0.719169726,6
0-20,0.589978094,7.8
0-20,0.380882485,6.8
0-20,0.335124995,7.7
0-20,,7.7
0-20,0.350432414,8.4
0-20,-0.044751014,7.2
0-20,,7.1
0-20,0.353590933,8.1
0-20,-0.024776168,8.8
0-20,0.841135815,7
0-20,0.775083924,8
0-20,2.03537754,5.57
0-20,1.942510055,5.66
0-20,1.863284783,6.6999998
0-20,1.860989259,6
0-20,1.010206641,6.1999998
0-20,1.344917433,6.6999998
20-40,1.303860603,7.0999999
0-20,1.297243897,7.0999999
20-40,1.192786497,7.1999998
0-20,1.178734135,6.6999998
20-40,1.1551714,7.0999999
0-20,2.017710978,5.91
20-40,2.031395859,5.75
0-20,1.799059201,5.68
20-40,1.15807528,5.85
0-20,1.871618114,5.87
0-20,2.015530338,5.92
0-20,1.280027168,6
0-20,1.033346541,6
20-40,0.945244585,6
0-20,1.848227998,6
0-20,1.510475732,6
20-40,1.387603561,6
0-20,,6.6999998
20-40,,7.0999999
0-20,1.14850394,4.88
0-20,1.14690287,5.04
20-40,1.086156163,5.08
20-40,0.942142043,5.29
0-20,1.082785087,4.81
20-40,1.245060268,5.26
0-20,0.981770601,5.5
0-20,1.011824096,5.79
0-20,0.949202585,5.58
0-20,0.991443169,5.52
0-20,0.804570104,4.7
0-20,0.805084715,4.58
0-20,1.360029639,6.1999998
0-20,1.246260195,6.1999998
20-40,1.267113506,6.4000001
0-20,1.095674165,6.1999998
0-20,1.009454295,6.1999998
20-40,0.544028336,6.4000001
0-20,1.079745462,6.1999998
0-20,0.984847628,6.1999998
20-40,0.988929777,6.4000001
0-20,1.314440279,5.36
0-20,1.376248375,5.11
0-20,1.500949647,5.21
0-20,1.493474781,5.22
0-20,1.297436584,5.24
0-20,1.146580707,5.24
0-20,1.45805437,5.11
0-20,1.396706948,6.6
0-20,1.380580235,5.49
0-20,1.035602621,5.22
0-20,0.944632675,5.91
0-20,1.007597583,4.46
0-20,1.269527887,6
0-20,0.714825813,6
20-40,0.678951547,6
0-20,1.320649693,6
0-20,0.808750972,6
20-40,0.377634034,6
0-20,1.160955676,6
0-20,1.048323697,6
20-40,0.52376207,6
0-20,2.168521054,4.5
20-40,2.141161193,4.6
0-20,1.947869758,4.34
20-40,1.999099208,4.12
0-20,1.948991639,4.71
20-40,1.900397719,4.17
0-20,1.906020253,4.52
20-40,1.767636664,4.24
0-20,1.808605239,5.15
20-40,1.69592625,4.89
0-20,2.001106908,3.86
20-40,2.074939985,3.72
0-20,2.001683532,3.88
20-40,2.053700614,3.58
0-20,1.999661987,3.88
20-40,2.05085208,3.7
0-20,1.979113863,4.13
20-40,2.015931172,3.9
0-20,0.902002891,7.4000001
