layer,log_stock,MAT
0-20,1.112605002,0.4
0-20,1.218220304,0.4
20-40,1.240049772,0.4
20-40,1.230039981,0.4
0-20,1.151431144,0.4
0-20,1.242789809,0.4
20-40,1.258301976,0.4
20-40,1.145631415,0.4
0-20,0.792593379,-3
0-20,0.416593914,-3
20-40,0.241506635,-3
20-40,0.39814842,-3
0-20,0.637393654,-3
0-20,0.416314248,-3
20-40,0.305351369,-3
20-40,0.377626753,-3
0-20,0.801176015,-0.5
0-20,0.940941554,-0.5
0-20,1.030798763,3.6
0-20,1.61979524,-0.5
0-20,,2.6
0-20,,2.3
0-20,,3.5
0-20,0.706046161,0.9
0-20,,3.1
0-20,,2.3
0-20,1.163703614,-1
0-20,1.20370413,1.3
0-20,0.534491376,-1
0-20,1.211599963,1
0-20,,-5.5
0-20,,-2.7
0-20,,2.3
0-20,0.99997988,0.9
0-20,1.20370413,1.3
0-20,,4.8
0-20,0.739225312,2.8
0-20,0.316738754,3.5
0-20,0.938904966,2.2
0-20,0.628922061,3.1
0-20,1.272180948,3.9
0-20,0.769397923,0.9
0-20,0.72437092,2.3
0-20,,3.5
0-20,,1.2
0-20,0.979047433,2.7
0-20,0.217728153,4.3
0-20,0.727514839,3.5
0-20,,1.3
0-20,,3.9
0-20,1.064318982,3.1
0-20,,2.6
0-20,0.685170018,3.1
0-20,0.979829241,3.9
0-20,1.131027402,0.4
0-20,0.454579643,3.5
0-20,0.675663532,3.1
0-20,1.099265531,-1.6
0-20,1.028620311,3.1
0-20,,0.4
0-20,0.722255861,2.7
0-20,0.794661075,2.7
0-20,0.733651492,3.9
0-20,0.920738135,2.4
0-20,,2.3
0-20,1.131027402,0.4
0-20,0.652708399,5.2
0-20,1.359100028,2
0-20,,2
0-20,,4.9
0-20,0.995176933,5.4
0-20,0.227284086,5.6
0-20,0.866417559,3.6
0-20,0.511216254,3.6
0-20,0.947404151,5.5
0-20,1.077987228,4
0-20,1.302940311,3.6
0-20,1.298082736,2.5
0-20,,2.6
0-20,0.738545133,4.1
0-20,1.103287691,1.5
0-20,,2
0-20,0.315400434,4.1
0-20,1.231703698,3.8
0-20,0.520782835,4.9
0-20,0.368875537,4.6
0-20,0.452238394,4.8
0-20,0.783757712,5
0-20,,4.7
0-20,,6
0-20,,10.2
0-20,0.670917097,7.2
0-20,,6.8
0-20,0.717859636,4.9
0-20,,9.3
0-20,,9.3
0-20,-0.095652281,8.2
0-20,-0.449927789,8.2
0-20,0.573210943,10.3
0-20,,8
0-20,,8.1
0-20,,9.1
0-20,,5.6
0-20,,7.5
0-20,,6.6
0-20,0.914722239,8.2
0-20,0.438947787,7.7
0-20,0.497205539,6.5
0-20,,8.7
0-20,0.362909114,9
0-20,0.719169726,4.8
0-20,0.589978094,8.2
0-20,0.380882485,8.4
0-20,0.335124995,8.3
0-20,,8.2
0-20,0.350432414,6
0-20,-0.044751014,6.5
0-20,,6.5
0-20,0.353590933,6
0-20,-0.024776168,7.9
0-20,0.841135815,8.3
0-20,0.775083924,8.3
0-20,2.03537754,-4
0-20,1.942510055,4.1
0-20,1.863284783,-4
0-20,1.860989259,-0.5
0-20,1.010206641,1.9
0-20,1.344917433,-2.12
20-40,1.303860603,-2.12
0-20,1.297243897,-2.12
20-40,1.192786497,-2.12
0-20,1.178734135,-2.12
20-40,1.1551714,-2.12
0-20,2.017710978,-4.3
20-40,2.031395859,-4.3
0-20,1.799059201,2.5
20-40,1.15807528,2.5
0-20,1.871618114,-3.9
0-20,2.015530338,-3.9
0-20,1.280027168,-1.1
0-20,1.033346541,-1.1
20-40,0.945244585,-1.1
0-20,1.848227998,-5.3
0-20,1.510475732,-5.3
20-40,1.387603561,-5.3
0-20,,-3.9
20-40,,-3.9
0-20,1.14850394,-3.9
0-20,1.14690287,-3.9
20-40,1.086156163,-3.9
20-40,0.942142043,-3.9
0-20,1.082785087,-3.3
20-40,1.245060268,-3.3
0-20,0.981770601,-3.3
0-20,1.011824096,-3.3
0-20,0.949202585,-3.3
0-20,0.991443169,-3.3
0-20,0.804570104,-3.3
0-20,0.805084715,-3.3
0-20,1.360029639,-3
0-20,1.246260195,-3
20-40,1.267113506,-3
0-20,1.095674165,-3
0-20,1.009454295,-3
20-40,0.544028336,-3
0-20,1.079745462,-3
0-20,0.984847628,-3
20-40,0.988929777,-3
0-20,1.314440279,-4.9
0-20,1.376248375,-4.9
0-20,1.500949647,-4.9
0-20,1.493474781,-4.9
0-20,1.297436584,-4.9
0-20,1.146580707,-4.9
0-20,1.45805437,-4.9
0-20,1.396706948,-5.5
0-20,1.380580235,-5.5
0-20,1.035602621,-4.9
0-20,0.944632675,-4.9
0-20,1.007597583,-4.9
0-20,1.269527887,-3
0-20,0.714825813,-3
20-40,0.678951547,-3
0-20,1.320649693,-3
0-20,0.808750972,-3
20-40,0.377634034,-3
0-20,1.160955676,-3
0-20,1.048323697,-3
20-40,0.52376207,-3
0-20,2.168521054,-4.3
20-40,2.141161193,-4.3
0-20,1.947869758,-3.5
20-40,1.999099208,-3.5
0-20,1.948991639,-3.5
20-40,1.900397719,-3.5
0-20,1.906020253,-3.5
20-40,1.767636664,-3.5
0-20,1.808605239,-3.5
20-40,1.69592625,-3.5
0-20,2.001106908,-3
20-40,2.074939985,-3
0-20,2.001683532,-3
20-40,2.053700614,-3
0-20,1.999661987,-3
20-40,2.05085208,-3
0-20,1.979113863,-3
20-40,2.015931172,-3
0-20,0.902002891,4.9
0-20,0.915682589,4.9
0-20,0.886980018,4.9
0-20,0.969321774,4.9
0-20,0.887878249,4.9
0-20,0.917362647,4.9
0-20,0.958145153,4.9
0-20,,4.6
0-20,,7.3
0-20,0.453544604,5.7
0-20,0.511412732,5.7
0-20,0.583896713,5.7
20-40,0.447874027,5.7
0-20,0.415260555,5.7
0-20,0.426472222,5.7
