layer,log_stock,MBC,log_MBC
20-40,2.048289813,0.07604243,-1.118944013
20-40,2.058427695,0.07604243,-1.118944013
0-20,1.176410815,0.069495363,-1.158044174
0-20,1.079710795,0.069495363,-1.158044174
0-20,1.053757443,0.069495363,-1.158044174
0-20,0.900747208,0.069495363,-1.158044174
0-20,0.960303339,0.069495363,-1.158044174
0-20,0.864553829,0.069495363,-1.158044174
0-20,0.684953025,0.0734966,-1.133732749
0-20,0.504062883,0.0734966,-1.133732749
0-20,0.543163771,0.045968148,-1.337542996
0-20,0.287264126,0.102771758,-0.988126215
0-20,0.292078772,0.11598527,-0.935597164
0-20,0.34182215,0.10130359,-0.994375164
0-20,0.276213565,0.116719354,-0.932857127
0-20,0.413182371,0.100569506,-0.997533684
0-20,0.246301577,0.117453438,-0.930134268
0-20,0.240549248,0.106442178,-0.972886249
0-20,0.264496704,0.119655689,-0.922066646
0-20,0.293954471,0.10497401,-0.978918213
0-20,0.21571157,0.120389773,-0.919410403
0-20,0.328770904,0.103505842,-0.985035138
0-20,0.153363573,0.120389773,-0.919410403
0-20,0.792489745,0.050854915,-1.293667069
0-20,1.088855238,0.035649461,-1.447947031
20-40,0.854777898,0.050927802,-1.293045071
0-20,0.901449471,0.047442801,-1.323829679
20-40,0.553184433,0.061675641,-1.209886327
0-20,0.892274908,0.062590306,-1.203492927
0-20,0.892683739,0.067537127,-1.170457419
0-20,1.022176243,0.037075123,-1.430917401
0-20,0.784210736,0.029785071,-1.526001366
0-20,0.386677284,0.07693,-1.113904268
0-20,0.522704993,0.07693,-1.113904268
0-20,0.455758203,0.07693,-1.113904268
0-20,0.629001619,0.07693,-1.113904268
0-20,0.691435152,0.071435,-1.146088951
0-20,0.867632453,0.029938752,-1.523766308
0-20,1.07471407,0.028691304,-1.542249714
0-20,0.314183339,0.1061872,-0.973927831
0-20,0.38344552,0.1044582,-0.981057462
0-20,0.365398122,0.096292,-1.016409793
0-20,0.245083096,0.1039528,-0.983163808
0-20,0.460711462,0.1039528,-0.983163808
0-20,0.370350222,0.1264564,-0.898059186
0-20,0.370350222,0.1039528,-0.983163808
0-20,0.420516831,0.0863968,-1.063502343
0-20,0.809142053,0.050854915,-1.293667069
0-20,0.561602204,0.0730835,-1.136180662
0-20,0.489339626,0.0730835,-1.136180662
0-20,0.40715287,0.0730835,-1.136180662
20-40,0.351022885,0.072534005,-1.139458339
20-40,0.213995649,0.072534005,-1.139458339
0-20,1.137508682,0.066773709,-1.175394502
0-20,1.090363225,0.066773709,-1.175394502
0-20,1.037609037,0.066773709,-1.175394502
0-20,1.711915831,0.086668135,-1.06214055
0-20,1.727233238,0.086668135,-1.06214055
0-20,1.626658118,0.086668135,-1.06214055
20-40,1.740687263,0.106968779,-0.970742962
0-20,0.500428598,0.0730835,-1.136180662
0-20,0.433481808,0.0730835,-1.136180662
0-20,0.606725225,0.0730835,-1.136180662
0-20,0.701343441,0.0730835,-1.136180662
0-20,1.106427535,0.049606033,-1.3044655
0-20,1.170591798,0.080609804,-1.093612135
0-20,1.402031858,0.064665008,-1.189330667
0-20,1.529976711,0.050491855,-1.296778672
0-20,1.339262323,0.031003771,-1.508585483
0-20,0.632760888,0.085822468,-1.066399001
0-20,0.598067905,0.086586458,-1.062550025
0-20,0.332519251,0.114594816,-0.940835029
0-20,0.402364569,0.092216217,-1.035192698
0-20,0.650424097,0.100553973,-0.997600766
0-20,0.054613055,0.120047507,-0.920646853
0-20,0.315214393,0.03777581,-1.422786217
0-20,0.250615147,0.118516607,-0.926220791
0-20,0.488832634,0.096110159,-1.017230706
0-20,0.463713862,0.100514303,-0.997772136
0-20,0.634474932,0.019979711,-1.699410789
0-20,0.516493962,0.024350273,-1.61349616
20-40,0.476499429,0.024766517,-1.60613506
0-20,0.637457224,0.023309663,-1.632463999
0-20,0.572213711,0.023101541,-1.636359043
20-40,0.504961004,0.025390883,-1.595322191
0-20,0.538081879,0.022685297,-1.644255524
0-20,0.547994447,0.024558395,-1.609800015
20-40,0.472461181,0.025599005,-1.59177691
0-20,0.394703519,0.019355345,-1.713199073
0-20,0.517596933,0.023725907,-1.62477717
