Type,Ecosystem,Mycorrhiza,stock,log_stock,Species
Seasonal frozen ground,Wetland,NM,15.13,1.179838928,XYZ
Seasonal frozen ground,Wetland,EcM,15.138,1.180068501,CH
Seasonal frozen ground,Wetland,EcM,15.488,1.18999534,CH
Seasonal frozen ground,Wetland,EcM,15.642,1.194292282,CH
Seasonal frozen ground,Wetland,NM,13.02,1.114610984,XYZ
Seasonal frozen ground,Wetland,EcM,13.578,1.132835804,YL
Seasonal frozen ground,Wetland,EcM,13.248,1.122150319,YL
Seasonal frozen ground,Wetland,EcM,13.776,1.139123134,YL
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,5.71838,0.757273012,XYZ
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,5.71838,0.757273012,XYZ
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,6.01704,0.779382899,XYZ
Seasonal frozen ground,Grassland,NM,5.71838,0.757273012,XYZ
Seasonal frozen ground,Wetland,AM,111.76088,2.048289813,XP-TC
Seasonal frozen ground,Wetland,AM,114.40044,2.058427695,XP-TC
Seasonal frozen ground,Grassland,AM,7.157772622,0.854777898,HHH
Seasonal frozen ground,Forest,EcM,3.57424594,0.553184433,MGS
Seasonal frozen ground,Grassland,AM,2.24400017,0.351022885,YC
Seasonal frozen ground,Grassland,AM,1.636800124,0.213995649,YC
Permafrost,Wetland,ErM,55.04112,1.740687263,
Seasonal frozen ground,Grassland,AM,2.995707657,0.476499429,YGC
Seasonal frozen ground,Grassland,AM,3.198607889,0.504961004,NBC
Seasonal frozen ground,Grassland,AM,2.967981439,0.472461181,YC
Seasonal frozen ground,Grassland,AM,2.673897912,0.427144822,YC
Seasonal frozen ground,Grassland,AM,3.436774942,0.536151093,FZM
Seasonal frozen ground,Grassland,AM,2.972737819,0.473156608,YC
Seasonal frozen ground,Grassland,AM,2.217633411,0.345889756,YC
Seasonal frozen ground,Grassland,AM,3.177726218,0.502116477,HWC
Seasonal frozen ground,Grassland,AM,1.59512761,0.202795432,JP
Seasonal frozen ground,Grassland,AM,0.950348028,-0.022117322,JP
Seasonal frozen ground,Grassland,AM,1.120301624,0.049334966,JH
Seasonal frozen ground,Grassland,AM,1.203016241,0.08027149,JDF
Seasonal frozen ground,Wetland,AM,0.24748,-0.606459893,LW
Seasonal frozen ground,Wetland,AM,0.2116,-0.674484337,LW
Seasonal frozen ground,Grassland,AM,2.35008,0.371082647,JP
Seasonal frozen ground,Grassland,AM,2.02878,0.307234955,JP
Seasonal frozen ground,Wetland,AM,0.62192,-0.206265477,LW
Seasonal frozen ground,Wetland,AM,0.46968,-0.328197933,LW
Seasonal frozen ground,Grassland,AM,1.05878,0.024805729,YC
Seasonal frozen ground,Forest,EcM,1.485,0.171726454,LYS
Seasonal frozen ground,Forest,EcM,1.908,0.28057837,YS
Seasonal frozen ground,Forest,AM,1.8414,0.265148139,YS
Seasonal frozen ground,Forest,EcM,1.485,0.171726454,ZZS
Seasonal frozen ground,Forest,EcM,2.3074,0.363122888,MGS-SY
Seasonal frozen ground,Wetland,NM,5.59782,0.748018929,XYZ
