Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Permafrost,Forest,EcM,0.925163519,8.41712,LYS-BH
Permafrost,Forest,EcM,0.511391327,3.24632,LYS-BH
Permafrost,Forest,EcM,1.198885752,15.8083212,LYS-BH
Permafrost,Forest,EcM,0.78521594,6.098400462,LYS-BH
Permafrost,Forest,EcM,1.29345979,19.6544,LYS-BH
Permafrost,Forest,EcM,0.717544023,5.21848,LYS-BH
Permafrost,Wetland,,1.94732587,88.578,
Permafrost,Wetland,,1.891660091,77.922,
Permafrost,Wetland,EcM,1.95273434,89.688,QM
Permafrost,Wetland,EcM,1.931813704,85.47,QM
Permafrost,Wetland,EcM,1.154484837,14.272,CH-DX
Permafrost,Wetland,ErM,2.043582317,110.556,DX-DSYJ
Permafrost,Wetland,EcM,0.970607222,9.345600708,LYS-DX
Permafrost,Wetland,EcM,0.511509071,3.247200246,LYS-DX
Permafrost,Wetland,EcM,0.998750945,9.971280755,LYS-LMTC
Permafrost,Wetland,EcM,0.671291388,4.691280355,LYS-LMTC
Permafrost,Wetland,EcM,1.011330216,10.26432078,CH-LNTC
Permafrost,Wetland,EcM,0.642757282,4.392960333,CH-LNTC
Seasonal frozen ground,Wetland,NM,1.237630689,17.28346,XYZ
Permafrost,Wetland,ErM,2.120402548,131.94792,DX-DSYJ
Permafrost,Wetland,EcM,1.95273434,89.688,QM
Permafrost,Wetland,EcM,1.931813704,85.47,QM
Permafrost,Wetland,EcM,1.94732587,88.578,MTC
Permafrost,Wetland,EcM,1.891660091,77.922,MTC
Seasonal frozen ground,Wetland,AM,1.239559728,17.3604,MTC
Seasonal frozen ground,Forest,EcM,1.352505127,22.51672,HS-HM
Seasonal frozen ground,Forest,EcM,1.379991143,23.98784,HS-HM
Seasonal frozen ground,Forest,EcM,1.252616167,17.89024,HS-HM
Seasonal frozen ground,Forest,EcM,1.398610736,25.03864,HS-HM
Seasonal frozen ground,Forest,EcM,1.252616167,17.89024,HS
Seasonal frozen ground,Forest,EcM,1.198263295,15.78568,HS
Seasonal frozen ground,Forest,EcM,1.262701627,18.31056,HS
Seasonal frozen ground,Forest,EcM,1.247484226,17.68008,HS
Seasonal frozen ground,Forest,EcM,1.540478636,34.71192,XS-FS
Seasonal frozen ground,Forest,EcM,1.252616167,17.89024,XS-FS
Seasonal frozen ground,Forest,EcM,1.335921436,21.67312,XS-FS
Seasonal frozen ground,Forest,EcM,1.426835154,26.71992,XS-FS
Seasonal frozen ground,Forest,EcM,1.242290916,17.46992,BL
Seasonal frozen ground,Forest,EcM,1.262701627,18.31056,BH
Seasonal frozen ground,Forest,EcM,1.198263295,15.78568,BH
Seasonal frozen ground,Forest,EcM,1.162107769,14.52472,BH
Permafrost,Forest,EcM,0.920553232,8.32824,LYS-BH
Permafrost,Forest,EcM,1.163852236,14.58318,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,1.163852236,14.58318,LYS-BH
Permafrost,Forest,EcM,0.776340817,5.97504,LYS-BH
Permafrost,Forest,EcM,0.804891467,6.38104,LYS-BH
Permafrost,Forest,EcM,0.920553232,8.32824,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.785158931,6.0976,LYS-BH
Permafrost,Forest,EcM,0.804891467,6.38104,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Forest,EcM,0.776340817,5.97504,LYS-BH
Permafrost,Forest,EcM,1.163852236,14.58318,LYS-BH
Permafrost,Forest,EcM,0.985644689,9.67486,LYS-BH
Permafrost,Forest,EcM,0.675140175,4.73304,LYS-BH
Permafrost,Wetland,EcM,1.030194785,10.72,QM
Permafrost,Wetland,EcM,1.093981704,12.416,QM
Permafrost,Wetland,EcM,1.122019172,13.244,BH
Permafrost,Wetland,EcM,1.224377652,16.764,BH
Permafrost,Wetland,EcM,1.15192118,14.188,XS-
Permafrost,Wetland,EcM,1.11320777,12.978,LYS
Permafrost,Wetland,EcM,1.112605002,12.96,LYS
Permafrost,Wetland,EcM,1.218220304,16.528,LYS
Permafrost,Wetland,EcM,1.151431144,14.172,LYS
Permafrost,Wetland,EcM,1.242789809,17.49,LYS
Permafrost,Wetland,EcM,0.792593379,6.20288,BH
Permafrost,Wetland,EcM,0.416593914,2.60972,BH
Permafrost,Wetland,EcM,0.637393654,4.33904,LYS
Permafrost,Wetland,EcM,0.416314248,2.60804,LYS
Permafrost,Forest,EcM,0.801176015,6.326682135,
Permafrost,Grassland,NM,0.940941554,8.728538944,XYZ
Seasonal frozen ground,Grassland,AM,1.030798763,10.73491879,XYZ-TC
Permafrost,Wetland,AM,1.61979524,41.66728854,XYZ-TC
Seasonal frozen ground,Wetland,AM,,,XYZ-TC
Seasonal frozen ground,Forest,EcM,,,ZS
Seasonal frozen ground,Forest,EcM,,,ZS
Seasonal frozen ground,Grassland,NM,0.706046161,5.082134571,XYZ
Seasonal frozen ground,Wetland,AM,,,TTTC
