Type,log_stock,MAT
Permafrost,0.9007439,-4.9
Permafrost,0.548870745,-4.9
Permafrost,1.089307988,-4.9
Permafrost,0.568595931,-4.9
Permafrost,1.154707526,-4.9
Permafrost,0.767534317,-4.9
Permafrost,0.547085225,-4.9
Permafrost,0.878273589,-4.9
Permafrost,1.167381178,-4.9
Permafrost,1.924500317,-4.2
Permafrost,1.899195117,-4.2
Permafrost,1.833693596,-4.2
Permafrost,2.052854551,-4.2
Permafrost,2.019301339,-4.2
Permafrost,1.943249026,-4.2
Permafrost,0.996474887,-4.2
Permafrost,0.962056891,-4.2
Permafrost,0.956045542,-4.2
Permafrost,1.844516441,-4.2
Permafrost,1.718272573,-4.2
Permafrost,1.867379418,-4.2
Permafrost,1.730432067,-2.3
Permafrost,1.701306121,-2.3
Permafrost,1.484450321,-2.3
Permafrost,1.366349429,-2.3
Permafrost,1.360886113,-2.3
Permafrost,0.981773382,-2.3
Permafrost,0.894623206,-2.3
Permafrost,0.718531947,-2.3
Permafrost,1.454283965,-3
Permafrost,1.180286549,-3
Permafrost,1.388337628,-3
Permafrost,1.247718149,-3
Permafrost,1.023188237,-3.3
Permafrost,1.006705587,-3.3
Permafrost,0.91944421,-3.3
Permafrost,1.842507393,-4.2
Permafrost,1.711763578,-4.2
Permafrost,1.861650908,-4.2
Permafrost,0.997876179,-4.2
Permafrost,0.959179199,-4.2
Permafrost,0.955482963,-4.2
Permafrost,1.957013138,-3.9
Permafrost,1.765757937,-3.9
Permafrost,0.925163519,-4.9
Permafrost,0.511391327,-4.9
Permafrost,1.198885752,-2.2
Permafrost,0.78521594,-2.2
Permafrost,1.29345979,-3
Permafrost,0.717544023,-3
Seasonal frozen ground,1.352505127,2.8
Seasonal frozen ground,1.379991143,2.8
Seasonal frozen ground,1.252616167,2.8
Seasonal frozen ground,1.398610736,2.8
Seasonal frozen ground,1.252616167,2.8
Seasonal frozen ground,1.198263295,2.8
Seasonal frozen ground,1.262701627,2.8
Seasonal frozen ground,1.247484226,2.8
Seasonal frozen ground,1.540478636,2.8
Seasonal frozen ground,1.252616167,2.8
