Type,log_stock,MTW
Seasonal frozen ground,0.573210943,22.6166992
Seasonal frozen ground,,22.5
Seasonal frozen ground,,23.1166992
Seasonal frozen ground,,23.5667
Seasonal frozen ground,,21.3500004
Seasonal frozen ground,,22.8167
Seasonal frozen ground,,21.6000004
Seasonal frozen ground,0.914722239,22
Seasonal frozen ground,0.497205539,22.4500008
Seasonal frozen ground,0.719169726,21.1499996
Seasonal frozen ground,0.589978094,23.2667007
Seasonal frozen ground,0.380882485,23.2667007
Seasonal frozen ground,,23.1166992
Seasonal frozen ground,0.350432414,20.9666996
Seasonal frozen ground,-0.044751014,22.5333004
Seasonal frozen ground,,23.0333004
Seasonal frozen ground,0.353590933,21.6000004
Seasonal frozen ground,-0.024776168,22.2999992
Permafrost,1.344917433,15.6499996
Permafrost,1.297243897,16.6667004
Permafrost,1.178734135,17.9167004
Permafrost,1.280027168,16.7667007
Permafrost,1.033346541,16.7667007
Permafrost,1.848227998,13.7166996
Permafrost,1.510475732,13.7166996
Permafrost,0.981770601,15.5
Permafrost,1.011824096,15.5
Permafrost,0.949202585,15.5
Permafrost,0.991443169,15.5
Permafrost,0.804570104,15.5
Permafrost,0.805084715,15.5
Permafrost,1.095674165,16.5832996
Permafrost,1.009454295,16.5832996
Permafrost,1.079745462,16.5832996
Permafrost,0.984847628,16.5832996
Permafrost,1.396706948,15.6167002
Permafrost,1.380580235,15.6167002
Permafrost,1.035602621,16.0667
Permafrost,0.944632675,16.0667
Permafrost,1.007597583,16.0667
Seasonal frozen ground,0.902002891,22.5333004
Seasonal frozen ground,0.915682589,22.5333004
Seasonal frozen ground,0.886980018,22.5333004
Seasonal frozen ground,0.969321774,22.5333004
Seasonal frozen ground,0.887878249,22.5333004
Seasonal frozen ground,0.917362647,22.5333004
Seasonal frozen ground,0.958145153,22.5333004
Seasonal frozen ground,,20.9500008
Seasonal frozen ground,,23.8167
Seasonal frozen ground,0.453544604,22.8500004
Seasonal frozen ground,0.511412732,22.8500004
Seasonal frozen ground,0.583896713,22.8500004
Seasonal frozen ground,0.415260555,22.8500004
Seasonal frozen ground,0.426472222,22.8500004
Seasonal frozen ground,0.471015788,22.8500004
Seasonal frozen ground,0.281397022,22.8500004
Seasonal frozen ground,0.253270142,22.8500004
Seasonal frozen ground,0.191786248,22.8500004
Seasonal frozen ground,0.269456903,22.8500004
Seasonal frozen ground,0.224035553,22.8500004
Seasonal frozen ground,0.136885378,22.8500004
Seasonal frozen ground,0.348764232,22.8500004
Seasonal frozen ground,0.338560074,22.8500004
Seasonal frozen ground,0.224035553,22.8500004
Seasonal frozen ground,0.687503991,22.8500004
Seasonal frozen ground,0.652934476,22.8500004
Seasonal frozen ground,0.597260674,22.8500004
Seasonal frozen ground,0.681393214,22.8500004
Seasonal frozen ground,0.583896713,22.8500004
Seasonal frozen ground,0.426472222,22.8500004
Seasonal frozen ground,1.309223784,22.5333004
Seasonal frozen ground,1.050091162,22.5333004
Seasonal frozen ground,1.094198517,22.5333004
Seasonal frozen ground,0.917362647,22.5333004
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.016879105,22.4832993
Seasonal frozen ground,-0.003488328,22.4832993
Seasonal frozen ground,-0.080921908,22.4832993
Seasonal frozen ground,-0.04383157,22.4832993
Seasonal frozen ground,-0.20481541,22.4832993
Seasonal frozen ground,-0.089375595,22.4832993
Seasonal frozen ground,-0.092588639,22.4832993
Seasonal frozen ground,-0.094743951,22.4832993
Seasonal frozen ground,0.92867232,20.9333
Seasonal frozen ground,0.565375503,22.5499992
Seasonal frozen ground,0.51054501,22.5499992
Seasonal frozen ground,0.441852176,22.5499992
Seasonal frozen ground,0.903159469,22.5333004
Seasonal frozen ground,0.916803349,22.5333004
Seasonal frozen ground,0.889073007,22.5333004
Seasonal frozen ground,0.970559786,22.5333004
Seasonal frozen ground,0.889073007,22.5333004
Seasonal frozen ground,0.916803349,22.5333004
Seasonal frozen ground,0.958526615,22.5333004
Seasonal frozen ground,0.788493617,22.5333004
Seasonal frozen ground,0.80617726,22.5333004
Seasonal frozen ground,0.750807592,22.5333004
Seasonal frozen ground,0.750807592,22.5333004
Seasonal frozen ground,0.765325751,22.5333004
Seasonal frozen ground,0.745858314,22.5333004
Seasonal frozen ground,0.801823394,22.5333004
Seasonal frozen ground,1.123417129,20.4832993
Seasonal frozen ground,1.230127936,20.4832993
Seasonal frozen ground,1.312118939,20.4832993
Seasonal frozen ground,1.123417129,20.4832993
Seasonal frozen ground,1.230127936,20.4832993
Seasonal frozen ground,1.312118939,20.4832993
Seasonal frozen ground,1.123417129,20.4832993
Seasonal frozen ground,1.230071176,20.4832993
Seasonal frozen ground,1.312118939,20.4832993
Seasonal frozen ground,0.834339306,20.4832993
Seasonal frozen ground,0.965237459,20.4832993
Seasonal frozen ground,1.173851483,20.4832993
Seasonal frozen ground,0.850143658,20.4832993
Seasonal frozen ground,0.988421602,20.4832993
Seasonal frozen ground,1.195342181,20.4832993
Seasonal frozen ground,0.857835263,20.4832993
Seasonal frozen ground,0.988421602,20.4832993
Seasonal frozen ground,1.195342181,20.4832993
Seasonal frozen ground,1.176410815,19.9333
Seasonal frozen ground,1.079710795,19.9333
Seasonal frozen ground,1.053757443,19.9333
Seasonal frozen ground,0.900747208,19.9333
Seasonal frozen ground,0.960303339,19.9333
Seasonal frozen ground,0.864553829,19.9333
Seasonal frozen ground,0.684953025,21.3833008
Seasonal frozen ground,0.504062883,21.3833008
Seasonal frozen ground,0.543163771,22.6166992
Seasonal frozen ground,0.287264126,22.8332996
Seasonal frozen ground,0.292078772,22.8332996
Seasonal frozen ground,0.34182215,22.8332996
Seasonal frozen ground,0.276213565,22.8332996
Seasonal frozen ground,0.413182371,22.8332996
Seasonal frozen ground,0.246301577,22.8332996
Seasonal frozen ground,0.240549248,22.8332996
Seasonal frozen ground,0.264496704,22.8332996
Seasonal frozen ground,0.293954471,22.8332996
Seasonal frozen ground,0.21571157,22.8332996
Seasonal frozen ground,0.328770904,22.8332996
Seasonal frozen ground,0.153363573,22.8332996
Seasonal frozen ground,0.792489745,20.4832993
Seasonal frozen ground,1.088855238,19.1833
Seasonal frozen ground,0.901449471,19
Permafrost,0.892274908,19.0832996
Permafrost,0.892683739,19.0832996
Permafrost,1.022176243,19.0832996
Permafrost,0.784210736,19.0832996
Seasonal frozen ground,0.386677284,22.5333004
Seasonal frozen ground,0.522704993,22.5333004
Seasonal frozen ground,0.455758203,22.5333004
Seasonal frozen ground,0.629001619,22.5333004
Seasonal frozen ground,0.691435152,22.5333004
Seasonal frozen ground,0.867632453,19.4500008
Seasonal frozen ground,0.314183339,22.5333004
Seasonal frozen ground,0.38344552,22.5333004
Seasonal frozen ground,0.365398122,22.5333004
Seasonal frozen ground,0.245083096,22.5333004
Seasonal frozen ground,0.460711462,22.5333004
Seasonal frozen ground,0.370350222,22.5333004
Seasonal frozen ground,0.370350222,22.5333004
Seasonal frozen ground,0.420516831,22.5333004
Seasonal frozen ground,0.809142053,20.4832993
Seasonal frozen ground,0.561602204,22.5333004
Seasonal frozen ground,0.489339626,22.5333004
Seasonal frozen ground,0.40715287,22.5333004
Seasonal frozen ground,1.137508682,19.8999996
Seasonal frozen ground,1.090363225,19.8999996
Seasonal frozen ground,1.037609037,19.8999996
Seasonal frozen ground,0.500428598,22.5333004
Seasonal frozen ground,0.433481808,22.5333004
Seasonal frozen ground,0.606725225,22.5333004
Seasonal frozen ground,0.701343441,22.5333004
Seasonal frozen ground,0.632760888,21.7667007
Seasonal frozen ground,0.598067905,22.5333004
Seasonal frozen ground,0.332519251,22.5
Seasonal frozen ground,0.402364569,22.3833008
Seasonal frozen ground,0.650424097,22.3833008
Seasonal frozen ground,0.054613055,22.3833008
Seasonal frozen ground,0.315214393,22.6833
Seasonal frozen ground,0.250615147,22.6667004
Seasonal frozen ground,0.488832634,22.5
Seasonal frozen ground,0.463713862,22.8332996
Seasonal frozen ground,0.634474932,22.0333004
Seasonal frozen ground,0.516493962,22.0333004
Seasonal frozen ground,0.637457224,22.0333004
Seasonal frozen ground,0.572213711,22.0333004
Seasonal frozen ground,0.538081879,22.0333004
Seasonal frozen ground,0.547994447,22.0333004
Seasonal frozen ground,0.394703519,22.0333004
Seasonal frozen ground,0.517596933,22.0333004
Seasonal frozen ground,0.586532481,21.7166996
Seasonal frozen ground,0.584936962,21.7166996
Seasonal frozen ground,0.645201079,21.7166996
Seasonal frozen ground,0.515818543,21.7166996
Seasonal frozen ground,0.672794075,21.7166996
Seasonal frozen ground,0.413711963,21.7166996
Seasonal frozen ground,0.548906472,21.7166996
Seasonal frozen ground,0.507348624,21.7166996
Seasonal frozen ground,0.16070732,21.4666996
Seasonal frozen ground,0.200864458,21.4666996
Seasonal frozen ground,0.098519258,21.4666996
Seasonal frozen ground,0.088896297,21.4666996
Seasonal frozen ground,0.214081302,21.4666996
Seasonal frozen ground,0.130744096,21.4666996
Seasonal frozen ground,0.374250617,21.4666996
Seasonal frozen ground,0.27131861,21.4666996
Seasonal frozen ground,0.536487738,22.0667
Seasonal frozen ground,0.490472582,22.0667
Seasonal frozen ground,0.106653173,21.2166996
Seasonal frozen ground,0.028408565,21.2166996
Seasonal frozen ground,0.407815642,21.2166996
