Type,log_stock,MTC
Seasonal frozen ground,,-2.6333301
Seasonal frozen ground,0.670917097,-8.5
Seasonal frozen ground,,-9.6666698
Seasonal frozen ground,0.717859636,-13.1667004
Seasonal frozen ground,,-1.85
Seasonal frozen ground,,-1.85
Seasonal frozen ground,-0.095652281,-7.75
Seasonal frozen ground,-0.449927789,-7.6500001
Seasonal frozen ground,0.573210943,-1.7
Seasonal frozen ground,,-8.0166702
Seasonal frozen ground,,-7.7333298
Seasonal frozen ground,,-1.85
Seasonal frozen ground,,-8.8666697
Seasonal frozen ground,,-9.3000002
Seasonal frozen ground,,-8.6499996
Seasonal frozen ground,0.914722239,-7.3166699
Seasonal frozen ground,0.497205539,-10.3167
Seasonal frozen ground,0.719169726,-13.1667004
Seasonal frozen ground,0.589978094,-7.78333
Seasonal frozen ground,0.380882485,-7.5500002
Seasonal frozen ground,,-7.7333298
Seasonal frozen ground,0.350432414,-9.7333298
Seasonal frozen ground,-0.044751014,-10
Seasonal frozen ground,,-9.0166702
Seasonal frozen ground,0.353590933,-9.3833303
Seasonal frozen ground,-0.024776168,-7.7333298
Permafrost,1.344917433,-24.7833004
Permafrost,1.297243897,-23.2833004
Permafrost,1.178734135,-23.2166996
Permafrost,1.280027168,-19.1333008
Permafrost,1.033346541,-19.1333008
Permafrost,1.848227998,-25.7667007
Permafrost,1.510475732,-25.7667007
Permafrost,0.981770601,-25.4500008
Permafrost,1.011824096,-25.4500008
Permafrost,0.949202585,-25.4500008
Permafrost,0.991443169,-25.4500008
Permafrost,0.804570104,-25.4500008
Permafrost,0.805084715,-25.4500008
Permafrost,1.095674165,-25.9832993
Permafrost,1.009454295,-25.9832993
Permafrost,1.079745462,-25.9832993
Permafrost,0.984847628,-25.9832993
Permafrost,1.396706948,-26.1333008
Permafrost,1.380580235,-26.1333008
Permafrost,1.035602621,-25.7000008
Permafrost,0.944632675,-25.7000008
Permafrost,1.007597583,-25.7000008
Seasonal frozen ground,0.902002891,-13.0333004
Seasonal frozen ground,0.915682589,-13.0333004
Seasonal frozen ground,0.886980018,-13.0333004
Seasonal frozen ground,0.969321774,-13.0333004
Seasonal frozen ground,0.887878249,-13.0333004
Seasonal frozen ground,0.917362647,-13.0333004
Seasonal frozen ground,0.958145153,-13.0333004
Seasonal frozen ground,,-15.4167004
Seasonal frozen ground,,-8.1000004
Seasonal frozen ground,0.453544604,-12.2166996
Seasonal frozen ground,0.511412732,-12.2166996
Seasonal frozen ground,0.583896713,-12.2166996
Seasonal frozen ground,0.415260555,-12.2166996
Seasonal frozen ground,0.426472222,-12.2166996
Seasonal frozen ground,0.471015788,-12.2166996
Seasonal frozen ground,0.281397022,-12.2166996
Seasonal frozen ground,0.253270142,-12.2166996
Seasonal frozen ground,0.191786248,-12.2166996
Seasonal frozen ground,0.269456903,-12.2166996
Seasonal frozen ground,0.224035553,-12.2166996
Seasonal frozen ground,0.136885378,-12.2166996
Seasonal frozen ground,0.348764232,-12.2166996
Seasonal frozen ground,0.338560074,-12.2166996
Seasonal frozen ground,0.224035553,-12.2166996
Seasonal frozen ground,0.687503991,-12.2166996
Seasonal frozen ground,0.652934476,-12.2166996
Seasonal frozen ground,0.597260674,-12.2166996
Seasonal frozen ground,0.681393214,-12.2166996
Seasonal frozen ground,0.583896713,-12.2166996
Seasonal frozen ground,0.426472222,-12.2166996
Seasonal frozen ground,1.309223784,-13.0333004
Seasonal frozen ground,1.050091162,-13.0333004
Seasonal frozen ground,1.094198517,-13.0333004
Seasonal frozen ground,0.917362647,-13.0333004
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.016879105,-10.3000002
Seasonal frozen ground,-0.003488328,-10.3000002
Seasonal frozen ground,-0.080921908,-10.3000002
Seasonal frozen ground,-0.04383157,-10.3000002
Seasonal frozen ground,-0.20481541,-10.3000002
Seasonal frozen ground,-0.089375595,-10.3000002
Seasonal frozen ground,-0.092588639,-10.3000002
Seasonal frozen ground,-0.094743951,-10.3000002
Seasonal frozen ground,0.92867232,-16.3999996
Seasonal frozen ground,0.565375503,-12.9333
Seasonal frozen ground,0.51054501,-12.9333
Seasonal frozen ground,0.441852176,-12.9333
Seasonal frozen ground,0.903159469,-13.0333004
Seasonal frozen ground,0.916803349,-13.0333004
Seasonal frozen ground,0.889073007,-13.0333004
Seasonal frozen ground,0.970559786,-13.0333004
Seasonal frozen ground,0.889073007,-13.0333004
Seasonal frozen ground,0.916803349,-13.0333004
Seasonal frozen ground,0.958526615,-13.0333004
Seasonal frozen ground,0.788493617,-13.0333004
Seasonal frozen ground,0.80617726,-13.0333004
Seasonal frozen ground,0.750807592,-13.0333004
Seasonal frozen ground,0.750807592,-13.0333004
Seasonal frozen ground,0.765325751,-13.0333004
Seasonal frozen ground,0.745858314,-13.0333004
Seasonal frozen ground,0.801823394,-13.0333004
Seasonal frozen ground,1.123417129,-16.7833004
Seasonal frozen ground,1.230127936,-16.7833004
Seasonal frozen ground,1.312118939,-16.7833004
Seasonal frozen ground,1.123417129,-16.7833004
Seasonal frozen ground,1.230127936,-16.7833004
Seasonal frozen ground,1.312118939,-16.7833004
Seasonal frozen ground,1.123417129,-16.7833004
Seasonal frozen ground,1.230071176,-16.7833004
Seasonal frozen ground,1.312118939,-16.7833004
Seasonal frozen ground,0.834339306,-16.7833004
Seasonal frozen ground,0.965237459,-16.7833004
Seasonal frozen ground,1.173851483,-16.7833004
Seasonal frozen ground,0.850143658,-16.7833004
Seasonal frozen ground,0.988421602,-16.7833004
Seasonal frozen ground,1.195342181,-16.7833004
Seasonal frozen ground,0.857835263,-16.7833004
Seasonal frozen ground,0.988421602,-16.7833004
Seasonal frozen ground,1.195342181,-16.7833004
Seasonal frozen ground,1.176410815,-19.8833008
Seasonal frozen ground,1.079710795,-19.8833008
Seasonal frozen ground,1.053757443,-19.8833008
Seasonal frozen ground,0.900747208,-19.8833008
Seasonal frozen ground,0.960303339,-19.8833008
Seasonal frozen ground,0.864553829,-19.8833008
Seasonal frozen ground,0.684953025,-13.3667002
Seasonal frozen ground,0.504062883,-13.3667002
Seasonal frozen ground,0.543163771,-12.6667004
Seasonal frozen ground,0.287264126,-12.1000004
Seasonal frozen ground,0.292078772,-12.1000004
Seasonal frozen ground,0.34182215,-12.1000004
Seasonal frozen ground,0.276213565,-12.1000004
Seasonal frozen ground,0.413182371,-12.1000004
Seasonal frozen ground,0.246301577,-12.1000004
Seasonal frozen ground,0.240549248,-12.1000004
Seasonal frozen ground,0.264496704,-12.1000004
Seasonal frozen ground,0.293954471,-12.1000004
Seasonal frozen ground,0.21571157,-12.1000004
Seasonal frozen ground,0.328770904,-12.1000004
Seasonal frozen ground,0.153363573,-12.1000004
Seasonal frozen ground,0.792489745,-18.6667004
Seasonal frozen ground,1.088855238,-20.5667
Seasonal frozen ground,0.901449471,-20.5333004
Permafrost,0.892274908,-20.8332996
Permafrost,0.892683739,-20.8332996
Permafrost,1.022176243,-20.8332996
Permafrost,0.784210736,-20.8332996
Seasonal frozen ground,0.386677284,-13.9666996
Seasonal frozen ground,0.522704993,-13.9666996
Seasonal frozen ground,0.455758203,-13.9666996
Seasonal frozen ground,0.629001619,-13.9666996
Seasonal frozen ground,0.691435152,-13.9666996
Seasonal frozen ground,0.867632453,-21.1000004
Seasonal frozen ground,0.314183339,-13.0333004
Seasonal frozen ground,0.38344552,-13.0333004
Seasonal frozen ground,0.365398122,-13.0333004
Seasonal frozen ground,0.245083096,-13.0333004
Seasonal frozen ground,0.460711462,-13.0333004
Seasonal frozen ground,0.370350222,-13.0333004
Seasonal frozen ground,0.370350222,-13.0333004
Seasonal frozen ground,0.420516831,-13.0333004
Seasonal frozen ground,0.809142053,-18.6667004
Seasonal frozen ground,0.561602204,-13.9666996
Seasonal frozen ground,0.489339626,-13.9666996
Seasonal frozen ground,0.40715287,-13.9666996
Seasonal frozen ground,1.137508682,-19.3332996
Seasonal frozen ground,1.090363225,-19.3332996
Seasonal frozen ground,1.037609037,-19.3332996
Seasonal frozen ground,0.500428598,-13.9666996
Seasonal frozen ground,0.433481808,-13.9666996
Seasonal frozen ground,0.606725225,-13.9666996
Seasonal frozen ground,0.701343441,-13.9666996
Seasonal frozen ground,0.632760888,-13.7833004
Seasonal frozen ground,0.598067905,-13.7833004
Seasonal frozen ground,0.332519251,-13.2833004
Seasonal frozen ground,0.402364569,-13.8332996
Seasonal frozen ground,0.650424097,-13.6000004
Seasonal frozen ground,0.054613055,-12.4499998
Seasonal frozen ground,0.315214393,-12.3667002
Seasonal frozen ground,0.250615147,-13.0832996
Seasonal frozen ground,0.488832634,-13.3832998
Seasonal frozen ground,0.463713862,-12.25
Seasonal frozen ground,0.634474932,-15.8999996
Seasonal frozen ground,0.516493962,-15.8999996
Seasonal frozen ground,0.637457224,-15.8999996
Seasonal frozen ground,0.572213711,-15.8999996
Seasonal frozen ground,0.538081879,-15.8999996
Seasonal frozen ground,0.547994447,-15.8999996
Seasonal frozen ground,0.394703519,-15.8999996
Seasonal frozen ground,0.517596933,-15.8999996
Seasonal frozen ground,0.586532481,-15.7666998
Seasonal frozen ground,0.584936962,-15.7666998
Seasonal frozen ground,0.645201079,-15.7666998
Seasonal frozen ground,0.515818543,-15.7666998
Seasonal frozen ground,0.672794075,-15.7666998
Seasonal frozen ground,0.413711963,-15.7666998
Seasonal frozen ground,0.548906472,-15.7666998
Seasonal frozen ground,0.507348624,-15.7666998
Seasonal frozen ground,0.16070732,-16.8500004
Seasonal frozen ground,0.200864458,-16.8500004
Seasonal frozen ground,0.098519258,-16.8500004
Seasonal frozen ground,0.088896297,-16.8500004
Seasonal frozen ground,0.214081302,-16.8500004
Seasonal frozen ground,0.130744096,-16.8500004
Seasonal frozen ground,0.374250617,-16.8500004
Seasonal frozen ground,0.27131861,-16.8500004
Seasonal frozen ground,0.536487738,-14.7833004
Seasonal frozen ground,0.490472582,-14.7833004
Seasonal frozen ground,0.106653173,-16.9167004
Seasonal frozen ground,0.028408565,-16.9167004
Seasonal frozen ground,0.407815642,-16.9167004
Seasonal frozen ground,0.331439444,-16.9167004
Seasonal frozen ground,0.234122291,-16.9167004
Seasonal frozen ground,0.386677284,-15.1332998
Seasonal frozen ground,0.522704993,-15.1332998
Seasonal frozen ground,0.455758203,-15.1332998
Seasonal frozen ground,0.629001619,-15.1332998
Seasonal frozen ground,0.691435152,-15.1332998
Seasonal frozen ground,0.957825576,-19.0499992
Seasonal frozen ground,0.729638274,-19.0832996
Seasonal frozen ground,0.357500335,-18.75
Seasonal frozen ground,0.164578868,-18.75
Seasonal frozen ground,0.81646005,-18.75
Seasonal frozen ground,0.601886239,-18.75
Seasonal frozen ground,0.990791564,-18.75
Seasonal frozen ground,0.765482282,-18.75
Seasonal frozen ground,1.253118864,-18.8167
Seasonal frozen ground,0.548023154,-18.8167
Seasonal frozen ground,,-16.1833
Seasonal frozen ground,,-16.1833
Seasonal frozen ground,1.650268543,-13.4167004
Seasonal frozen ground,1.384575613,-13.4167004
Seasonal frozen ground,1.171129437,-13.4167004
Seasonal frozen ground,1.086188505,-13.4167004
Seasonal frozen ground,0.780921878,-13.4167004
Seasonal frozen ground,0.557652966,-13.4167004
Seasonal frozen ground,0.357784692,-13.4167004
Seasonal frozen ground,1.608329166,-13.4167004
Seasonal frozen ground,1.398148626,-13.4167004
Seasonal frozen ground,1.313900951,-13.4167004
Seasonal frozen ground,1.207688532,-13.4167004
Seasonal frozen ground,1.136872327,-13.4167004
Seasonal frozen ground,0.988488137,-13.4167004
