Type,log_stock,MTW
Seasonal frozen ground,0.916284143,19.5333004
Seasonal frozen ground,1.045083464,19.9832993
Seasonal frozen ground,1.067361777,19.9832993
Seasonal frozen ground,1.025417293,19.6333008
Seasonal frozen ground,0.908883743,19.6333008
Seasonal frozen ground,0.954265671,19.5
Seasonal frozen ground,0.460963959,19.9832993
Seasonal frozen ground,1.14527847,19.5333004
Seasonal frozen ground,1.326992542,19.9832993
Seasonal frozen ground,1.158731486,19.9832993
Seasonal frozen ground,1.23802602,19.5
Seasonal frozen ground,0.839402621,19.5
Seasonal frozen ground,1.230448921,19.5
Seasonal frozen ground,0.680081572,19.5
Seasonal frozen ground,0.829020585,19.5
Seasonal frozen ground,0.610660163,19.5
Seasonal frozen ground,0.667565014,19.5
Seasonal frozen ground,0.510115865,19.5
Seasonal frozen ground,1.237821115,19.5
Seasonal frozen ground,0.83974445,19.5
Seasonal frozen ground,1.230587873,19.5
Seasonal frozen ground,0.679340666,19.5
Seasonal frozen ground,0.829720496,19.5
Seasonal frozen ground,0.610080717,19.5
Seasonal frozen ground,0.667565014,19.5
Seasonal frozen ground,0.511573231,19.5
Seasonal frozen ground,0.570584966,20.4832993
Seasonal frozen ground,0.731427587,20.4832993
Seasonal frozen ground,0.951030392,20.4832993
Seasonal frozen ground,0.896548262,20.4832993
Seasonal frozen ground,0.676678981,20.4832993
Seasonal frozen ground,0.811414126,20.4832993
Seasonal frozen ground,0.870570099,20.4832993
Seasonal frozen ground,0.908324139,20.4832993
Seasonal frozen ground,0.956480588,20.7332993
Seasonal frozen ground,0.928530012,20.7332993
Seasonal frozen ground,0.836873284,20.7332993
Seasonal frozen ground,0.989114178,20.7166996
Seasonal frozen ground,0.837854741,20.7166996
Seasonal frozen ground,0.71015292,20.7166996
Seasonal frozen ground,1.010242273,20.7166996
Seasonal frozen ground,1.033525079,20.7166996
Seasonal frozen ground,0.961039317,20.7166996
Seasonal frozen ground,0.991185303,20.6166992
Seasonal frozen ground,0.855286501,20.6166992
Seasonal frozen ground,0.705998767,20.6166992
Seasonal frozen ground,0.97982143,19.9832993
Seasonal frozen ground,0.787262057,19.9832993
Seasonal frozen ground,1.077043608,19.9167004
Seasonal frozen ground,1.066706745,19.9167004
Seasonal frozen ground,1.123360905,19.9167004
Seasonal frozen ground,1.186383299,19.9167004
Seasonal frozen ground,1.106552602,19.9167004
Seasonal frozen ground,1.235729388,19.9167004
Seasonal frozen ground,0.640775505,19.9167004
Seasonal frozen ground,0.976521462,19.9167004
Seasonal frozen ground,1.12699848,19.9167004
Seasonal frozen ground,1.114080968,19.9167004
Seasonal frozen ground,1.131255424,19.9832993
Seasonal frozen ground,0.942510055,19.9832993
Seasonal frozen ground,1.156609113,19.8999996
Seasonal frozen ground,0.899467016,19.8999996
Seasonal frozen ground,1.775943777,19.9832993
Seasonal frozen ground,1.370016893,19.9832993
Seasonal frozen ground,1.313713714,20.1499996
Seasonal frozen ground,1.267935415,19.9333
Seasonal frozen ground,1.358586181,19.7833004
Seasonal frozen ground,1.083147729,19.9832993
Seasonal frozen ground,1.02057092,19.9832993
Seasonal frozen ground,1.004364371,19.9832993
Seasonal frozen ground,1.007408059,19.9832993
Seasonal frozen ground,1.001587481,19.9832993
Seasonal frozen ground,1.006364196,19.9832993
Seasonal frozen ground,1.009676908,19.9832993
Seasonal frozen ground,0.979968809,19.9333
Seasonal frozen ground,0.948058734,19.9333
Seasonal frozen ground,0.965728369,19.9333
Seasonal frozen ground,0.918707476,19.9333
Seasonal frozen ground,0.986917669,19.9333
Seasonal frozen ground,0.92389549,19.9333
Seasonal frozen ground,0.974995917,19.9333
Seasonal frozen ground,0.929022259,19.9333
Seasonal frozen ground,1.001667958,19.9333
Seasonal frozen ground,0.975412506,19.9333
Seasonal frozen ground,1.461508431,19.9333
Seasonal frozen ground,1.175838716,19.9333
Seasonal frozen ground,1.449609208,19.9333
Seasonal frozen ground,1.215526002,19.9333
Seasonal frozen ground,1.437374751,19.9333
Seasonal frozen ground,1.215526002,19.9333
Seasonal frozen ground,1.457547649,19.9333
Seasonal frozen ground,1.179584534,19.9333
Seasonal frozen ground,1.461508431,19.9333
Seasonal frozen ground,1.205019668,19.9333
Seasonal frozen ground,1.029156424,19.9832993
Seasonal frozen ground,0.874344956,19.9832993
Seasonal frozen ground,0.8722099,19.9832993
Seasonal frozen ground,0.717815244,19.9832993
Seasonal frozen ground,1.46146401,19.9832993
Seasonal frozen ground,1.00607907,19.9832993
Seasonal frozen ground,0.99490813,19.9832993
Seasonal frozen ground,1.011933965,19.9832993
Seasonal frozen ground,0.927733663,19.9832993
Seasonal frozen ground,1.324305096,19.9832993
Seasonal frozen ground,1.190970062,20
Seasonal frozen ground,0.648798963,20
Seasonal frozen ground,0.872076985,19.9832993
Seasonal frozen ground,0.644271142,19.9832993
Seasonal frozen ground,1.06483222,19.9832993
Seasonal frozen ground,0.928178651,19.9832993
Seasonal frozen ground,0.900552825,19.9832993
Seasonal frozen ground,1.035992955,19.9832993
Seasonal frozen ground,1.039334789,19.9832993
Seasonal frozen ground,1.854073951,19.9832993
Seasonal frozen ground,1.772131661,19.9832993
Seasonal frozen ground,1.732941108,19.9832993
Seasonal frozen ground,1.253764335,19.9832993
