Type,log_stock,MTC
Permafrost,1.415267232,-26.2332993
Permafrost,1.3502771,-20.7667007
Permafrost,1.372021892,-20.5667
Seasonal frozen ground,1.060468926,-18.75
Seasonal frozen ground,0.938183367,-18.7667007
Permafrost,1.484185944,-27.1833
Permafrost,1.390040207,-27.1833
Permafrost,2.01099495,-25.2999992
Permafrost,1.711623758,-22.5167007
Permafrost,1.727612495,-22.5167007
Permafrost,1.826610068,-22.5832996
Permafrost,1.571962023,-22.5832996
Permafrost,1.889178401,-26.2000008
Permafrost,1.79813941,-22.5167007
Permafrost,1.700526159,-24.6333008
Permafrost,1.572193743,-24.6333008
Permafrost,1.660723725,-24.6333008
Permafrost,1.582527317,-24.6333008
Permafrost,1.149226538,-27.1333008
Permafrost,1.21664933,-27.1333008
Permafrost,1.115506701,-27.1833
Permafrost,2.092467993,-26.3332996
Permafrost,1.938159331,-26.3332996
Permafrost,2.001491409,-26.3332996
Permafrost,1.821539729,-26.3332996
Permafrost,2.097711127,-23.7833004
Permafrost,2.052683786,-25.75
Permafrost,0.942611212,-27.1333008
Permafrost,0.530507087,-27.1333008
Permafrost,0.942611212,-27.1333008
Permafrost,0.482679283,-27.1333008
Permafrost,0.969747597,-27.1333008
Permafrost,0.58951177,-27.1333008
Permafrost,1.122221155,-27.1333008
Permafrost,0.685003291,-27.1333008
Permafrost,0.956391318,-27.1333008
Permafrost,0.565243195,-27.1333008
Permafrost,1.006048267,-27.1333008
Permafrost,0.652052881,-27.1333008
Permafrost,1.016548697,-27.1333008
Permafrost,0.573586355,-27.1333008
Permafrost,1.033963908,-27.1333008
Permafrost,0.634590145,-27.1333008
Permafrost,1.062780507,-27.1333008
Permafrost,0.694373546,-27.1333008
Permafrost,1.019518431,-27.1333008
Permafrost,0.641712048,-27.1333008
Permafrost,0.908034439,-27.1833
Permafrost,0.561168226,-27.1833
Permafrost,0.874463296,-27.1833
Permafrost,0.497515721,-27.1833
Permafrost,0.872468652,-27.1833
Permafrost,0.467318019,-27.1833
Permafrost,1.023881044,-27.1833
Permafrost,0.678562112,-27.1833
Permafrost,0.892602129,-27.1833
Permafrost,0.516773311,-27.1833
Permafrost,1.94732587,-26.2166996
Permafrost,1.891660091,-26.2166996
Permafrost,1.95273434,-26.2166996
Permafrost,1.931813704,-26.2166996
Permafrost,1.154484837,-26.3332996
Permafrost,2.043582317,-25.2999992
Permafrost,0.970607222,-27.1333008
Permafrost,0.511509071,-27.1333008
Permafrost,0.998750945,-27.1333008
Permafrost,0.671291388,-27.1333008
Permafrost,1.011330216,-27.1833
Permafrost,0.642757282,-27.1833
Seasonal frozen ground,1.237630689,-18.7667007
Permafrost,2.120402548,-26.2332993
Permafrost,1.95273434,-26.2166996
Permafrost,1.931813704,-26.2166996
Permafrost,1.94732587,-26.2166996
Permafrost,1.891660091,-26.2166996
Seasonal frozen ground,1.239559728,-18.75
Permafrost,1.030194785,-19.9666996
Permafrost,1.093981704,-19.9666996
Permafrost,1.122019172,-19.9666996
Permafrost,1.224377652,-19.9666996
Permafrost,1.15192118,-19.9666996
Permafrost,1.11320777,-19.9666996
Permafrost,1.112605002,-19.9666996
Permafrost,1.218220304,-19.9666996
Permafrost,1.151431144,-19.9666996
Permafrost,1.242789809,-19.9666996
Permafrost,0.792593379,-22.1166992
Permafrost,0.416593914,-22.1166992
Permafrost,0.637393654,-22.1166992
Permafrost,0.416314248,-22.1166992
Permafrost,1.61979524,-20.1499996
Seasonal frozen ground,,-16.6499996
Seasonal frozen ground,,-14.1999998
Seasonal frozen ground,,-14.7833004
Seasonal frozen ground,,-16.0167007
Seasonal frozen ground,0.438947787,-6.0166702
Seasonal frozen ground,,-6.8833299
Seasonal frozen ground,0.362909114,-6.3000002
Seasonal frozen ground,0.335124995,-7.0999999
Seasonal frozen ground,0.841135815,-7.53333
Seasonal frozen ground,0.775083924,-7.0999999
Permafrost,2.03537754,-26.5499992
Seasonal frozen ground,1.942510055,-14.3667002
Permafrost,1.863284783,-26.5499992
Permafrost,1.860989259,-19.6166992
Seasonal frozen ground,1.010206641,-18.7332993
Permafrost,2.017710978,-26.2332993
Seasonal frozen ground,1.799059201,-18.6333008
Permafrost,1.871618114,-26.2166996
Permafrost,2.015530338,-26.2166996
Permafrost,,-26.7667007
Permafrost,1.14850394,-26.2000008
Permafrost,1.14690287,-26.2000008
Permafrost,1.082785087,-27.1333008
Permafrost,1.360029639,-25.9832993
Permafrost,1.246260195,-25.9832993
Permafrost,1.314440279,-25.2667007
Permafrost,1.376248375,-25.2667007
Permafrost,1.500949647,-25.2667007
Permafrost,1.493474781,-25.2667007
Permafrost,1.297436584,-25.2667007
Permafrost,1.146580707,-25.2667007
Permafrost,1.45805437,-25.2667007
Permafrost,1.269527887,-25.7000008
Permafrost,0.714825813,-25.7000008
Permafrost,1.320649693,-25.7000008
Permafrost,0.808750972,-25.7000008
Permafrost,1.160955676,-25.7000008
Permafrost,1.048323697,-25.7000008
Permafrost,2.168521054,-25.6000004
Permafrost,1.947869758,-25.5333004
Permafrost,1.948991639,-24.5667
Permafrost,1.906020253,-24.5667
Permafrost,1.808605239,-24.2000008
Permafrost,2.001106908,-26.5832996
Permafrost,2.001683532,-26.4666996
Permafrost,1.999661987,-25.0832996
Permafrost,1.979113863,-24.9832993
Seasonal frozen ground,1.007863802,-14.2833004
Seasonal frozen ground,0.979045504,-14.2833004
Seasonal frozen ground,1.007476366,-14.2833004
Seasonal frozen ground,1.29578694,-18.75
Seasonal frozen ground,1.156609718,-18.75
Seasonal frozen ground,1.233909453,-18.75
Seasonal frozen ground,1.28546729,-18.75
Seasonal frozen ground,1.285647309,-18.75
Seasonal frozen ground,1.162862993,-18.75
Seasonal frozen ground,1.240549248,-18.75
Seasonal frozen ground,1.270119599,-18.75
Seasonal frozen ground,1.951196812,-14.4333
Seasonal frozen ground,1.951196812,-14.4333
Seasonal frozen ground,2.004445882,-14.4333
Seasonal frozen ground,1.989142855,-14.4333
Seasonal frozen ground,1.07471407,-21.1000004
Permafrost,1.711915831,-22.5167007
Permafrost,1.727233238,-22.5167007
Permafrost,1.626658118,-22.5167007
Seasonal frozen ground,1.106427535,-18.75
Seasonal frozen ground,1.170591798,-18.75
Seasonal frozen ground,1.402031858,-18.75
Seasonal frozen ground,1.529976711,-18.75
Seasonal frozen ground,1.339262323,-18.75
Seasonal frozen ground,-0.563455723,-15.1167002
Seasonal frozen ground,-0.684029655,-15.1167002
Seasonal frozen ground,0.219060332,-15.1167002
Seasonal frozen ground,-0.077648289,-15.1167002
Seasonal frozen ground,1.162110161,-19.0667
Seasonal frozen ground,0.916284143,-19.0832996
Seasonal frozen ground,1.045083464,-18.75
Seasonal frozen ground,1.067361777,-18.75
Seasonal frozen ground,1.025417293,-19.1166992
Seasonal frozen ground,0.908883743,-19.1166992
Seasonal frozen ground,0.954265671,-19.0667
Seasonal frozen ground,0.460963959,-18.75
Seasonal frozen ground,1.14527847,-19.0832996
Seasonal frozen ground,1.326992542,-18.75
Seasonal frozen ground,1.158731486,-18.75
Seasonal frozen ground,1.23802602,-19.0667
Seasonal frozen ground,0.839402621,-19.0667
Seasonal frozen ground,1.230448921,-19.0667
Seasonal frozen ground,0.680081572,-19.0667
Seasonal frozen ground,0.829020585,-19.0667
Seasonal frozen ground,0.610660163,-19.0667
Seasonal frozen ground,0.667565014,-19.0667
Seasonal frozen ground,0.510115865,-19.0667
Seasonal frozen ground,1.237821115,-19.0667
Seasonal frozen ground,0.83974445,-19.0667
Seasonal frozen ground,1.230587873,-19.0667
Seasonal frozen ground,0.679340666,-19.0667
Seasonal frozen ground,0.829720496,-19.0667
Seasonal frozen ground,0.610080717,-19.0667
Seasonal frozen ground,0.667565014,-19.0667
Seasonal frozen ground,0.511573231,-19.0667
Seasonal frozen ground,0.570584966,-16.1667004
Seasonal frozen ground,0.731427587,-16.1667004
Seasonal frozen ground,0.951030392,-16.1667004
Seasonal frozen ground,0.896548262,-16.1667004
Seasonal frozen ground,0.676678981,-16.1667004
Seasonal frozen ground,0.811414126,-16.1667004
Seasonal frozen ground,0.870570099,-16.1667004
Seasonal frozen ground,0.908324139,-16.1667004
Seasonal frozen ground,0.956480588,-16
Seasonal frozen ground,0.928530012,-16
Seasonal frozen ground,0.836873284,-16
Seasonal frozen ground,0.989114178,-15.9666996
Seasonal frozen ground,0.837854741,-15.9666996
Seasonal frozen ground,0.71015292,-15.9666996
Seasonal frozen ground,1.010242273,-15.9666996
Seasonal frozen ground,1.033525079,-15.9666996
Seasonal frozen ground,0.961039317,-15.9666996
Seasonal frozen ground,0.991185303,-16.0167007
Seasonal frozen ground,0.855286501,-16.0167007
Seasonal frozen ground,0.705998767,-16.0167007
Seasonal frozen ground,0.97982143,-18.75
Seasonal frozen ground,0.787262057,-18.75
Seasonal frozen ground,1.077043608,-18.7667007
Seasonal frozen ground,1.066706745,-18.7667007
Seasonal frozen ground,1.123360905,-18.7667007
Seasonal frozen ground,1.186383299,-18.7667007
Seasonal frozen ground,1.106552602,-18.7667007
Seasonal frozen ground,1.235729388,-18.7667007
Seasonal frozen ground,0.640775505,-18.7667007
Seasonal frozen ground,0.976521462,-18.7667007
Seasonal frozen ground,1.12699848,-18.7667007
Seasonal frozen ground,1.114080968,-18.7667007
Seasonal frozen ground,1.131255424,-18.75
Seasonal frozen ground,0.942510055,-18.75
Seasonal frozen ground,1.156609113,-18.7999992
Seasonal frozen ground,0.899467016,-18.7999992
Seasonal frozen ground,1.775943777,-18.75
Seasonal frozen ground,1.370016893,-18.75
Seasonal frozen ground,1.313713714,-17.8666992
Seasonal frozen ground,1.267935415,-18.3500004
Seasonal frozen ground,1.358586181,-19.2000008
Seasonal frozen ground,1.083147729,-18.75
Seasonal frozen ground,1.02057092,-18.75
Seasonal frozen ground,1.004364371,-18.75
Seasonal frozen ground,1.007408059,-18.75
Seasonal frozen ground,1.001587481,-18.75
Seasonal frozen ground,1.006364196,-18.75
Seasonal frozen ground,1.009676908,-18.75
Seasonal frozen ground,0.979968809,-18.7667007
Seasonal frozen ground,0.948058734,-18.7667007
Seasonal frozen ground,0.965728369,-18.7667007
Seasonal frozen ground,0.918707476,-18.7667007
Seasonal frozen ground,0.986917669,-18.7667007
Seasonal frozen ground,0.92389549,-18.7667007
Seasonal frozen ground,0.974995917,-18.7667007
Seasonal frozen ground,0.929022259,-18.7667007
Seasonal frozen ground,1.001667958,-18.7667007
Seasonal frozen ground,0.975412506,-18.7667007
Seasonal frozen ground,1.461508431,-18.7667007
Seasonal frozen ground,1.175838716,-18.7667007
Seasonal frozen ground,1.449609208,-18.7667007
Seasonal frozen ground,1.215526002,-18.7667007
Seasonal frozen ground,1.437374751,-18.7667007
Seasonal frozen ground,1.215526002,-18.7667007
Seasonal frozen ground,1.457547649,-18.7667007
Seasonal frozen ground,1.179584534,-18.7667007
Seasonal frozen ground,1.461508431,-18.7667007
Seasonal frozen ground,1.205019668,-18.7667007
Seasonal frozen ground,1.029156424,-18.75
Seasonal frozen ground,0.874344956,-18.75
Seasonal frozen ground,0.8722099,-18.75
Seasonal frozen ground,0.717815244,-18.75
Seasonal frozen ground,1.46146401,-18.75
Seasonal frozen ground,1.00607907,-18.75
Seasonal frozen ground,0.99490813,-18.75
Seasonal frozen ground,1.011933965,-18.75
Seasonal frozen ground,0.927733663,-18.75
Seasonal frozen ground,1.324305096,-18.75
Seasonal frozen ground,1.190970062,-18.4167004
Seasonal frozen ground,0.648798963,-18.4167004
Seasonal frozen ground,0.872076985,-18.75
Seasonal frozen ground,0.644271142,-18.75
Seasonal frozen ground,1.06483222,-18.75
Seasonal frozen ground,0.928178651,-18.75
Seasonal frozen ground,0.900552825,-18.75
Seasonal frozen ground,1.035992955,-18.75
Seasonal frozen ground,1.039334789,-18.75
Seasonal frozen ground,1.854073951,-18.75
Seasonal frozen ground,1.772131661,-18.75
Seasonal frozen ground,1.732941108,-18.75
Seasonal frozen ground,1.253764335,-18.75
