Type,Ecosystem,Ecosystem0,Mycorrhiza,soc_stock,log_stock,MAT
Permafrost,Wetland,Wetland,EcM,4.382400332,0.641712048,-4.1
Permafrost,Wetland,Wetland,EcM,8.091600613,0.908034439,-4.1
Permafrost,Wetland,Wetland,EcM,3.640560276,0.561168226,-4.1
Permafrost,Wetland,Wetland,EcM,7.489680567,0.874463296,-4.1
Permafrost,Wetland,Wetland,EcM,3.144240238,0.497515721,-4.1
Permafrost,Wetland,Wetland,EcM,7.455360565,0.872468652,-4.1
Permafrost,Wetland,Wetland,EcM,2.933040222,0.467318019,-4.1
Permafrost,Wetland,Wetland,EcM,10.5652808,1.023881044,-4.1
Permafrost,Wetland,Wetland,EcM,4.770480361,0.678562112,-4.1
Permafrost,Wetland,Wetland,EcM,7.809120592,0.892602129,-4.1
Permafrost,Wetland,Wetland,EcM,3.286800249,0.516773311,-4.1
Permafrost,Forest,Upland,EcM,8.41712,0.925163519,-4.9
Permafrost,Forest,Upland,EcM,3.24632,0.511391327,-4.9
Permafrost,Forest,Upland,EcM,15.8083212,1.198885752,-2.2
Permafrost,Forest,Upland,EcM,6.098400462,0.78521594,-2.2
Permafrost,Forest,Upland,EcM,19.6544,1.29345979,-3
Permafrost,Forest,Upland,EcM,5.21848,0.717544023,-3
Permafrost,Wetland,Wetland,EcM,89.688,1.95273434,-3.9
Permafrost,Wetland,Wetland,EcM,85.47,1.931813704,-3.9
Permafrost,Wetland,Wetland,EcM,14.272,1.154484837,-3.9
Permafrost,Wetland,Wetland,ErM,110.556,2.043582317,-3.9
Permafrost,Wetland,Wetland,EcM,9.345600708,0.970607222,-4.9
Permafrost,Wetland,Wetland,EcM,3.247200246,0.511509071,-4.9
Permafrost,Wetland,Wetland,EcM,9.971280755,0.998750945,-4.9
Permafrost,Wetland,Wetland,EcM,4.691280355,0.671291388,-4.9
Permafrost,Wetland,Wetland,EcM,10.26432078,1.011330216,-4.9
Permafrost,Wetland,Wetland,EcM,4.392960333,0.642757282,-4.9
Seasonal frozen ground,Wetland,Wetland,NM,17.28346,1.237630689,1.9
Permafrost,Wetland,Wetland,ErM,131.94792,2.120402548,-5.5
Permafrost,Wetland,Wetland,EcM,89.688,1.95273434,-3.9
Permafrost,Wetland,Wetland,EcM,85.47,1.931813704,-3.9
Permafrost,Wetland,Wetland,EcM,88.578,1.94732587,-3.9
Permafrost,Wetland,Wetland,EcM,77.922,1.891660091,-3.9
Seasonal frozen ground,Wetland,Wetland,AM,17.3604,1.239559728,2.5
Seasonal frozen ground,Forest,Upland,EcM,22.51672,1.352505127,2.8
Seasonal frozen ground,Forest,Upland,EcM,23.98784,1.379991143,2.8
Seasonal frozen ground,Forest,Upland,EcM,17.89024,1.252616167,2.8
Seasonal frozen ground,Forest,Upland,EcM,25.03864,1.398610736,2.8
Seasonal frozen ground,Forest,Upland,EcM,17.89024,1.252616167,2.8
Seasonal frozen ground,Forest,Upland,EcM,15.78568,1.198263295,2.8
Seasonal frozen ground,Forest,Upland,EcM,18.31056,1.262701627,2.8
Seasonal frozen ground,Forest,Upland,EcM,17.68008,1.247484226,2.8
Seasonal frozen ground,Forest,Upland,EcM,34.71192,1.540478636,2.8
Seasonal frozen ground,Forest,Upland,EcM,17.89024,1.252616167,2.8
Seasonal frozen ground,Forest,Upland,EcM,21.67312,1.335921436,2.8
Seasonal frozen ground,Forest,Upland,EcM,26.71992,1.426835154,2.8
Seasonal frozen ground,Forest,Upland,EcM,17.46992,1.242290916,2.8
Seasonal frozen ground,Forest,Upland,EcM,18.31056,1.262701627,2.8
Seasonal frozen ground,Forest,Upland,EcM,15.78568,1.198263295,2.8
Seasonal frozen ground,Forest,Upland,EcM,14.52472,1.162107769,2.8
Permafrost,Forest,Upland,EcM,8.32824,0.920553232,-3
Permafrost,Forest,Upland,EcM,14.58318,1.163852236,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,14.58318,1.163852236,-3
Permafrost,Forest,Upland,EcM,5.97504,0.776340817,-3
Permafrost,Forest,Upland,EcM,6.38104,0.804891467,-3
Permafrost,Forest,Upland,EcM,8.32824,0.920553232,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,6.0976,0.785158931,-3
Permafrost,Forest,Upland,EcM,6.38104,0.804891467,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Forest,Upland,EcM,5.97504,0.776340817,-3
Permafrost,Forest,Upland,EcM,14.58318,1.163852236,-3
Permafrost,Forest,Upland,EcM,9.67486,0.985644689,-3
Permafrost,Forest,Upland,EcM,4.73304,0.675140175,-3
Permafrost,Wetland,Wetland,EcM,10.72,1.030194785,0.4
Permafrost,Wetland,Wetland,EcM,12.416,1.093981704,0.4
Permafrost,Wetland,Wetland,EcM,13.244,1.122019172,0.4
Permafrost,Wetland,Wetland,EcM,16.764,1.224377652,0.4
Permafrost,Wetland,Wetland,EcM,14.188,1.15192118,0.4
Permafrost,Wetland,Wetland,EcM,12.978,1.11320777,0.4
Permafrost,Wetland,Wetland,EcM,12.96,1.112605002,0.4
Permafrost,Wetland,Wetland,EcM,16.528,1.218220304,0.4
Permafrost,Wetland,Wetland,EcM,14.172,1.151431144,0.4
Permafrost,Wetland,Wetland,EcM,17.49,1.242789809,0.4
Permafrost,Wetland,Wetland,EcM,6.20288,0.792593379,-3
Permafrost,Wetland,Wetland,EcM,2.60972,0.416593914,-3
Permafrost,Wetland,Wetland,EcM,4.33904,0.637393654,-3
Permafrost,Wetland,Wetland,EcM,2.60804,0.416314248,-3
Permafrost,Forest,Upland,EcM,6.326682135,0.801176015,-0.5
Permafrost,Grassland,Upland,NM,8.728538944,0.940941554,-0.5
Seasonal frozen ground,Grassland,Upland,AM,10.73491879,1.030798763,3.6
Permafrost,Wetland,Wetland,AM,41.66728854,1.61979524,-0.5
Seasonal frozen ground,Grassland,Upland,NM,5.082134571,0.706046161,0.9
Permafrost,Forest,Upland,EcM,14.57819026,1.163703614,-1
Seasonal frozen ground,Forest,Upland,EcM,15.98468677,1.20370413,1.3
Permafrost,Forest,Upland,EcM,3.423665893,0.534491376,-1
Permafrost,Forest,Upland,EcM,16.27795947,1.211599963,1
Seasonal frozen ground,Forest,Upland,EcM,9.99953672,0.99997988,0.9
Seasonal frozen ground,Forest,Upland,EcM,15.98468677,1.20370413,1.3
Seasonal frozen ground,Forest,Upland,EcM,5.485614849,0.739225312,2.8
Seasonal frozen ground,Forest,Upland,EcM,8.687703016,0.938904966,2.2
Seasonal frozen ground,Forest,Upland,EcM,4.255220418,0.628922061,3.1
Seasonal frozen ground,Forest,Upland,EcM,18.71461717,1.272180948,3.9
Seasonal frozen ground,Grassland,Upland,AM,5.301160093,0.72437092,2.3
Seasonal frozen ground,Forest,Upland,EcM,9.52900232,0.979047433,2.7
Seasonal frozen ground,Grassland,Upland,AM,1.650928074,0.217728153,4.3
Seasonal frozen ground,Forest,Upland,EcM,11.5962877,1.064318982,3.1
Seasonal frozen ground,Forest,Upland,EcM,4.84361949,0.685170018,3.1
Seasonal frozen ground,Grassland,Upland,NM,9.546171694,0.979829241,3.9
Seasonal frozen ground,Forest,Upland,EcM,13.52157875,1.131027402,0.4
Seasonal frozen ground,Forest,Upland,EcM,4.7387471,0.675663532,3.1
Permafrost,Forest,Upland,EcM,12.56798144,1.099265531,-1.6
Seasonal frozen ground,Grassland,Upland,AM,10.6812065,1.028620311,3.1
Seasonal frozen ground,Grassland,Upland,AM,5.275405664,0.722255861,2.7
Seasonal frozen ground,Grassland,Upland,AM,6.232482599,0.794661075,2.7
Seasonal frozen ground,Grassland,Upland,AM,5.415661253,0.733651492,3.9
Seasonal frozen ground,Grassland,Upland,AM,8.331786543,0.920738135,2.4
Seasonal frozen ground,Forest,Upland,EcM,13.52157875,1.131027402,0.4
Seasonal frozen ground,Forest,Upland,EcM,4.494779582,0.652708399,5.2
Seasonal frozen ground,Forest,Upland,EcM,20.08816705,1.302940311,3.6
Seasonal frozen ground,Forest,Upland,EcM,5.477030162,0.738545133,4.1
Seasonal frozen ground,Forest,Upland,EcM,12.68491879,1.103287691,1.5
Seasonal frozen ground,Forest,Upland,EcM,2.067285383,0.315400434,4.1
Seasonal frozen ground,Forest,Upland,EcM,4.687238979,0.670917097,7.2
Seasonal frozen ground,Forest,Upland,EcM,5.222273782,0.717859636,4.9
Seasonal frozen ground,Forest,Upland,AM,0.802320186,-0.095652281,8.2
Seasonal frozen ground,Forest,Upland,EcM,0.35487239,-0.449927789,8.2
Seasonal frozen ground,Forest,Upland,EcM,3.742923434,0.573210943,10.3
Seasonal frozen ground,Grassland,Upland,AM,8.217169374,0.914722239,8.2
Seasonal frozen ground,Wetland,Wetland,AM,2.747563805,0.438947787,7.7
Seasonal frozen ground,Wetland,Wetland,AM,2.306264501,0.362909114,9
Seasonal frozen ground,Forest,Upland,EcM,5.238051044,0.719169726,4.8
Seasonal frozen ground,Grassland,Upland,AM,3.89025522,0.589978094,8.2
Seasonal frozen ground,Forest,Upland,AM,2.403712297,0.380882485,8.4
Seasonal frozen ground,Wetland,Wetland,AM,2.163341067,0.335124995,8.3
Seasonal frozen ground,Forest,Upland,EcM,0.902088167,-0.044751014,6.5
Seasonal frozen ground,Grassland,Upland,AM,2.257308585,0.353590933,6
Seasonal frozen ground,Forest,Upland,EcM,0.944547564,-0.024776168,7.9
Seasonal frozen ground,Wetland,Wetland,AM,6.936426914,0.841135815,8.3
Seasonal frozen ground,Wetland,Wetland,AM,5.957772622,0.775083924,8.3
Permafrost,Wetland,Wetland,ErM,108.48696,2.03537754,-4
Seasonal frozen ground,Wetland,Wetland,AM,87.6012,1.942510055,4.1
Permafrost,Wetland,Wetland,ErM,72.9936,1.863284783,-4
Permafrost,Wetland,Wetland,EcM,72.6088,1.860989259,-0.5
Seasonal frozen ground,Wetland,Wetland,NM,10.2378,1.010206641,1.9
Permafrost,Forest,Upland,EcM,22.12674,1.344917433,-2.12
Permafrost,Forest,Upland,EcM,19.8264015,1.297243897,-2.12
Permafrost,Wetland,Wetland,ErM,104.1624,2.017710978,-4.3
Seasonal frozen ground,Wetland,Wetland,AM,62.9592,1.799059201,2.5
Permafrost,Wetland,Wetland,ErM,74.40774,1.871618114,-3.9
Permafrost,Wetland,Wetland,EcM,103.6407,2.015530338,-3.9
Permafrost,Forest,Upland,EcM,19.0557992,1.280027168,-1.1
Permafrost,Forest,Upland,EcM,10.79808,1.033346541,-1.1
Permafrost,Forest,Upland,EcM,70.506312,1.848227998,-5.3
Permafrost,Forest,Upland,EcM,32.394832,1.510475732,-5.3
Permafrost,Wetland,Wetland,EcM,14.0768,1.14850394,-3.9
Permafrost,Wetland,Wetland,EcM,14.025,1.14690287,-3.9
Permafrost,Wetland,Wetland,EcM,12.09999212,1.082785087,-3.3
Permafrost,Forest,Upland,EcM,9.58894,0.981770601,-3.3
Permafrost,Forest,Upland,EcM,10.276,1.011824096,-3.3
Permafrost,Forest,Upland,EcM,8.89616,0.949202585,-3.3
Permafrost,Forest,Upland,EcM,9.8049,0.991443169,-3.3
Permafrost,Forest,Upland,EcM,6.37632,0.804570104,-3.3
Permafrost,Forest,Upland,EcM,6.38388,0.805084715,-3.3
Permafrost,Wetland,Wetland,AM,22.91024,1.360029639,-3
Permafrost,Wetland,Wetland,AM,17.63032,1.246260195,-3
Permafrost,Forest,Upland,EcM,12.46448,1.095674165,-3
Permafrost,Forest,Upland,EcM,10.22008,1.009454295,-3
Permafrost,Forest,Upland,EcM,12.0156,1.079745462,-3
Permafrost,Forest,Upland,EcM,9.65712,0.984847628,-3
Permafrost,Wetland,Wetland,AM,20.6272,1.314440279,-4.9
Permafrost,Wetland,Wetland,EcM,23.782,1.376248375,-4.9
Permafrost,Wetland,Wetland,EcM,31.692,1.500949647,-4.9
Permafrost,Wetland,Wetland,EcM,31.1512,1.493474781,-4.9
Permafrost,Wetland,Wetland,EcM,19.8352,1.297436584,-4.9
Permafrost,Wetland,Wetland,EcM,14.0146,1.146580707,-4.9
Permafrost,Wetland,Wetland,EcM,28.7114,1.45805437,-4.9
Permafrost,Forest,Upland,EcM,24.92912,1.396706948,-5.5
Permafrost,Forest,Upland,EcM,24.0204,1.380580235,-5.5
Permafrost,Forest,Upland,EcM,10.85432,1.035602621,-4.9
Permafrost,Forest,Upland,EcM,8.80304,0.944632675,-4.9
Permafrost,Forest,Upland,EcM,10.17648,1.007597583,-4.9
Permafrost,Wetland,Wetland,EcM,18.60064,1.269527887,-3
Permafrost,Wetland,Wetland,EcM,5.18592,0.714825813,-3
Permafrost,Wetland,Wetland,EcM,20.92424,1.320649693,-3
Permafrost,Wetland,Wetland,EcM,6.438,0.808750972,-3
Permafrost,Wetland,Wetland,EcM,14.48624,1.160955676,-3
Permafrost,Wetland,Wetland,EcM,11.17696,1.048323697,-3
Permafrost,Wetland,Wetland,EcM,147.408,2.168521054,-4.3
Seasonal frozen ground,Grassland,Upland,AM,7.98,0.902002891,4.9
Seasonal frozen ground,Grassland,Upland,AM,8.23536,0.915682589,4.9
Seasonal frozen ground,Grassland,Upland,AM,7.70868,0.886980018,4.9
Seasonal frozen ground,Grassland,Upland,AM,9.31798,0.969321774,4.9
Seasonal frozen ground,Grassland,Upland,AM,7.72464,0.887878249,4.9
Seasonal frozen ground,Grassland,Upland,AM,8.26728,0.917362647,4.9
Seasonal frozen ground,Grassland,Upland,AM,9.08124,0.958145153,4.9
Seasonal frozen ground,Grassland,Upland,AM,2.84148,0.453544604,5.7
Seasonal frozen ground,Grassland,Upland,AM,3.24648,0.511412732,5.7
Seasonal frozen ground,Grassland,Upland,AM,3.83616,0.583896713,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.60172,0.415260555,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.66976,0.426472222,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.95812,0.471015788,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.9116,0.281397022,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.79172,0.253270142,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.5552,0.191786248,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.85976,0.269456903,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.67508,0.224035553,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.37052,0.136885378,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.23236,0.348764232,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.18052,0.338560074,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.67508,0.224035553,5.7
Seasonal frozen ground,Grassland,Upland,AM,4.86972,0.687503991,5.7
Seasonal frozen ground,Grassland,Upland,AM,4.49712,0.652934476,5.7
Seasonal frozen ground,Grassland,Upland,AM,3.95604,0.597260674,5.7
Seasonal frozen ground,Grassland,Upland,AM,4.80168,0.681393214,5.7
Seasonal frozen ground,Grassland,Upland,AM,3.83616,0.583896713,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.66976,0.426472222,5.7
Seasonal frozen ground,Forest,Upland,EcM,20.38092,1.309223784,5.5
Seasonal frozen ground,Forest,Upland,EcM,11.22254,1.050091162,5.5
Seasonal frozen ground,Grassland,Upland,AM,12.4222,1.094198517,5.5
Seasonal frozen ground,Grassland,Upland,AM,8.26728,0.917362647,5.5
Seasonal frozen ground,Grassland,Upland,AM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.96188,-0.016879105,7.7
Seasonal frozen ground,Grassland,Upland,AM,0.992,-0.003488328,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.83,-0.080921908,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.904,-0.04383157,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.624,-0.20481541,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.814,-0.089375595,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.808,-0.092588639,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.804,-0.094743951,7.7
Seasonal frozen ground,Grassland,Upland,AM,8.4854,0.92867232,5
Seasonal frozen ground,Wetland,Wetland,AM,10.18272,1.007863802,3.1
Seasonal frozen ground,Wetland,Wetland,AM,9.52896,0.979045504,3.1
Seasonal frozen ground,Wetland,Wetland,AM,10.17364,1.007476366,3.1
Seasonal frozen ground,Grassland,Upland,AM,3.676,0.565375503,5.5
Seasonal frozen ground,Grassland,Upland,AM,3.24,0.51054501,5.5
Seasonal frozen ground,Grassland,Upland,AM,2.766,0.441852176,5.5
Seasonal frozen ground,Grassland,Upland,AM,8.00128,0.903159469,4.9
Seasonal frozen ground,Grassland,Upland,AM,8.25664,0.916803349,4.9
Seasonal frozen ground,Grassland,Upland,AM,7.74592,0.889073007,4.9
Seasonal frozen ground,Grassland,Upland,AM,9.34458,0.970559786,4.9
Seasonal frozen ground,Grassland,Upland,AM,7.74592,0.889073007,4.9
Seasonal frozen ground,Grassland,Upland,AM,8.25664,0.916803349,4.9
Seasonal frozen ground,Grassland,Upland,AM,9.08922,0.958526615,4.9
Seasonal frozen ground,Grassland,Upland,AM,6.1446,0.788493617,4.9
Seasonal frozen ground,Grassland,Upland,AM,6.39996,0.80617726,4.9
Seasonal frozen ground,Grassland,Upland,AM,5.63388,0.750807592,4.9
Seasonal frozen ground,Grassland,Upland,AM,5.63388,0.750807592,4.9
Seasonal frozen ground,Grassland,Upland,AM,5.8254,0.765325751,4.9
Seasonal frozen ground,Grassland,Upland,AM,5.57004,0.745858314,4.9
Seasonal frozen ground,Grassland,Upland,AM,6.33612,0.801823394,4.9
Seasonal frozen ground,Wetland,Wetland,NM,19.76,1.29578694,3
Seasonal frozen ground,Wetland,Wetland,EcM,14.342,1.156609718,3
Seasonal frozen ground,Wetland,Wetland,EcM,17.136,1.233909453,3
Seasonal frozen ground,Wetland,Wetland,EcM,19.296,1.28546729,3
