Type,log_stock,MTC
Permafrost,0.25411284,-25.4500008
Permafrost,0.098048109,-25.4500008
Permafrost,0.317294287,-25.4500008
Permafrost,0.051715775,-25.4500008
Permafrost,0.657602681,-25.4500008
Permafrost,0.421899936,-25.4500008
Permafrost,1.308090379,-25.9167004
Permafrost,1.768744361,-26.7999992
Permafrost,1.592652089,-26.7999992
Permafrost,1.824685225,-26.3666992
Permafrost,1.647134608,-26.3666992
Permafrost,1.016072244,-25.9167004
Permafrost,0.945587552,-25.9167004
Permafrost,1.924498508,-26.8500004
Permafrost,1.805313561,-26.8500004
Permafrost,1.77214198,-22.5167007
Permafrost,1.727843076,-22.5167007
Permafrost,1.167440887,-22.5167007
Permafrost,1.07317097,-22.5167007
Permafrost,0.809929536,-22.5167007
Permafrost,0.700785066,-22.5167007
Permafrost,0.596049716,-22.4666996
Permafrost,0.633838277,-22.4666996
Permafrost,1.05803782,-24.6333008
Permafrost,0.975085211,-24.6333008
Permafrost,1.920520441,-26.8666992
Permafrost,1.798160258,-26.8666992
Permafrost,1.015042403,-25.9167004
Permafrost,0.943829209,-25.9167004
Permafrost,1.303860603,-24.7833004
Permafrost,1.192786497,-23.2833004
Permafrost,1.1551714,-23.2166996
Permafrost,0.945244585,-19.1333008
Permafrost,1.387603561,-25.7667007
Permafrost,0.544028336,-25.9832993
Permafrost,0.988929777,-25.9832993
Seasonal frozen ground,0.447874027,-12.2166996
Seasonal frozen ground,0.225526375,-12.2166996
Seasonal frozen ground,0.24663643,-12.2166996
Seasonal frozen ground,0.160102213,-12.2166996
Seasonal frozen ground,0.112081925,-12.2166996
Seasonal frozen ground,0.440329636,-12.2166996
Seasonal frozen ground,0.242655701,-12.2166996
Seasonal frozen ground,0.953193145,-13.0333004
Seasonal frozen ground,0.955855087,-13.0333004
Seasonal frozen ground,0.809195967,-13.0333004
Seasonal frozen ground,0.838153663,-13.0333004
Seasonal frozen ground,-0.295849483,-10.3000002
Seasonal frozen ground,-0.156767222,-10.3000002
Seasonal frozen ground,-0.145693958,-10.3000002
Seasonal frozen ground,-0.199282922,-10.3000002
Seasonal frozen ground,-0.225483034,-10.3000002
Seasonal frozen ground,-0.164943898,-10.3000002
Seasonal frozen ground,-0.206209615,-10.3000002
Seasonal frozen ground,0.292256071,-12.9333
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.757273012,-16.7833004
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.757273012,-16.7833004
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.779382899,-16.7833004
Seasonal frozen ground,0.757273012,-16.7833004
Seasonal frozen ground,0.854777898,-20.5667
Seasonal frozen ground,0.553184433,-20.5333004
Seasonal frozen ground,0.351022885,-13.9666996
Seasonal frozen ground,0.213995649,-13.9666996
Seasonal frozen ground,0.476499429,-15.8999996
Seasonal frozen ground,0.504961004,-15.8999996
Seasonal frozen ground,0.472461181,-15.8999996
Seasonal frozen ground,0.427144822,-15.8999996
Seasonal frozen ground,0.536151093,-15.7666998
Seasonal frozen ground,0.473156608,-15.7666998
Seasonal frozen ground,0.345889756,-15.7666998
Seasonal frozen ground,0.502116477,-15.7666998
Seasonal frozen ground,0.202795432,-16.8500004
Seasonal frozen ground,-0.022117322,-16.8500004
Seasonal frozen ground,0.049334966,-16.8500004
Seasonal frozen ground,0.08027149,-16.8500004
Seasonal frozen ground,0.371082647,-14.7833004
Seasonal frozen ground,0.307234955,-14.7833004
Seasonal frozen ground,0.024805729,-16.9167004
Seasonal frozen ground,0.171726454,-16.9167004
Seasonal frozen ground,0.28057837,-16.9167004
Seasonal frozen ground,0.265148139,-16.9167004
Seasonal frozen ground,0.171726454,-16.9167004
Seasonal frozen ground,0.363122888,-19.0499992
Seasonal frozen ground,0.455986239,-18.75
Seasonal frozen ground,0.140972885,-18.75
Seasonal frozen ground,0.23363058,-18.8167
Seasonal frozen ground,0.86890294,-13.6667004
Seasonal frozen ground,0.879898324,-13.6667004
Seasonal frozen ground,0.851869601,-13.6667004
Seasonal frozen ground,0.86890294,-13.6667004
Seasonal frozen ground,0.911306789,-13.6667004
Seasonal frozen ground,0.906227263,-13.6667004
Seasonal frozen ground,-0.02974613,-10.3667002
Seasonal frozen ground,0.131105162,-10.3667002
Seasonal frozen ground,-0.015022874,-10.3667002
Seasonal frozen ground,0.17995373,-10.3667002
Seasonal frozen ground,-0.000782434,-10.3667002
Seasonal frozen ground,-0.000782434,-10.3667002
