Type,log_stock,MTW
Permafrost,2.09067345,14.8999996
Permafrost,2.041003225,14.8999996
Permafrost,1.626430297,16.7833004
Permafrost,1.65051809,16.7833004
Permafrost,1.58342856,16.8167
Permafrost,1.515354631,16.8167
Permafrost,1.152824016,14.25
Permafrost,1.183968401,14.25
Permafrost,2.119476188,15.2166996
Permafrost,2.034916623,14.25
Permafrost,1.992845011,16.2166996
Permafrost,1.948295573,16.2166996
Permafrost,2.126170385,14.8999996
Permafrost,2.046276596,14.8999996
Permafrost,1.856897985,16.2166996
Permafrost,1.948295573,16.2166996
Seasonal frozen ground,1.202673547,19.9832993
Permafrost,1.072617477,18.4500008
Permafrost,1.173535895,18.4500008
Permafrost,1.151614972,18.4500008
Permafrost,1.224688417,18.4500008
Permafrost,1.115011071,18.4500008
Permafrost,1.098712931,18.4500008
Permafrost,1.240049772,18.4500008
Permafrost,1.230039981,18.4500008
Permafrost,1.258301976,18.4500008
Permafrost,1.145631415,18.4500008
Permafrost,0.241506635,16.4832993
Permafrost,0.39814842,16.4832993
Permafrost,0.305351369,16.4832993
Permafrost,0.377626753,16.4832993
Permafrost,2.031395859,15.9499998
Seasonal frozen ground,1.15807528,20.0499992
Permafrost,,15.3332996
Permafrost,1.086156163,16.0832996
Permafrost,0.942142043,16.0832996
Permafrost,1.245060268,16.7833004
Permafrost,1.267113506,16.5832996
Permafrost,0.678951547,16.1667004
Permafrost,0.377634034,16.1667004
Permafrost,0.52376207,16.1667004
Permafrost,2.141161193,15.6833
Permafrost,1.999099208,13.3999996
Permafrost,1.900397719,14.2833004
Permafrost,1.767636664,14.3832998
Permafrost,1.69592625,15.25
Permafrost,2.074939985,16.25
Permafrost,2.053700614,15.8167
Permafrost,2.05085208,14.3832998
Permafrost,2.015931172,15.0500002
Seasonal frozen ground,1.076591806,20.2667007
Seasonal frozen ground,1.179838928,19.9832993
Seasonal frozen ground,1.180068501,19.9832993
Seasonal frozen ground,1.18999534,19.9832993
Seasonal frozen ground,1.194292282,19.9832993
Seasonal frozen ground,1.114610984,19.9832993
Seasonal frozen ground,1.132835804,19.9832993
Seasonal frozen ground,1.122150319,19.9832993
Seasonal frozen ground,1.139123134,19.9832993
Seasonal frozen ground,2.048289813,20.2833004
Seasonal frozen ground,2.058427695,20.2833004
Permafrost,1.740687263,16.7833004
Seasonal frozen ground,-0.606459893,22.1667004
Seasonal frozen ground,-0.674484337,22.1667004
Seasonal frozen ground,-0.206265477,22.1667004
Seasonal frozen ground,-0.328197933,22.1667004
Seasonal frozen ground,0.748018929,19.6333008
Seasonal frozen ground,0.615655515,19.5
Seasonal frozen ground,0.595760686,19.5
Seasonal frozen ground,0.537768739,19.5
Seasonal frozen ground,0.501387941,19.5
Seasonal frozen ground,0.61500683,19.5
Seasonal frozen ground,0.595760686,19.5
Seasonal frozen ground,0.535825584,19.5
Seasonal frozen ground,0.502230414,19.5
Seasonal frozen ground,1.176841072,20.4832993
Seasonal frozen ground,1.189641322,20.4832993
Seasonal frozen ground,1.341651321,20.4832993
Seasonal frozen ground,1.220505573,20.4832993
Seasonal frozen ground,0.98099906,20.4832993
Seasonal frozen ground,1.377300422,20.4832993
Seasonal frozen ground,1.227529357,20.4832993
Seasonal frozen ground,1.199996933,20.4832993
Seasonal frozen ground,0.785275723,19.9832993
Seasonal frozen ground,0.653388126,19.9832993
Seasonal frozen ground,0.530192012,19.8999996
Seasonal frozen ground,0.479572431,19.8999996
Seasonal frozen ground,0.544564097,19.9333
Seasonal frozen ground,0.568858538,19.9333
Seasonal frozen ground,0.687279192,19.9333
Seasonal frozen ground,0.721051792,19.9333
Seasonal frozen ground,0.648789214,19.9333
Seasonal frozen ground,0.482873584,19.9333
Seasonal frozen ground,0.571475904,19.9333
Seasonal frozen ground,0.482873584,19.9333
Seasonal frozen ground,0.555142835,19.9333
Seasonal frozen ground,0.462278176,19.9333
Seasonal frozen ground,0.647148153,19.9832993
Seasonal frozen ground,0.250478555,19.9832993
Seasonal frozen ground,0.501407106,19.9832993
Seasonal frozen ground,0.35758041,19.9832993
Seasonal frozen ground,0.557006452,19.9832993
Seasonal frozen ground,0.570356106,20
Seasonal frozen ground,0.392352194,19.9832993
Seasonal frozen ground,0.380374072,19.9832993
Seasonal frozen ground,0.336475744,19.9832993
Seasonal frozen ground,0.560064522,19.9832993
Seasonal frozen ground,1.161269751,19.9832993
Seasonal frozen ground,1.242474838,19.9832993
Seasonal frozen ground,0.447201459,19.9832993
Seasonal frozen ground,0.067160162,19.9832993
Seasonal frozen ground,0.479143248,19.9832993
