Type,log_stock,MAT
Permafrost,2.09067345,-3.9
Permafrost,2.041003225,-3.9
Permafrost,1.626430297,-2.4
Permafrost,1.65051809,-2.4
Permafrost,1.58342856,-2.4
Permafrost,1.515354631,-2.4
Permafrost,1.152824016,-3
Permafrost,1.183968401,-3
Permafrost,2.119476188,-3.6
Permafrost,2.034916623,-5
Permafrost,1.992845011,-3.9
Permafrost,1.948295573,-3.9
Permafrost,2.126170385,-3.9
Permafrost,2.046276596,-3.9
Permafrost,1.856897985,-3.9
Permafrost,1.948295573,-3.9
Seasonal frozen ground,1.202673547,2.5
Permafrost,1.072617477,0.4
Permafrost,1.173535895,0.4
Permafrost,1.151614972,0.4
Permafrost,1.224688417,0.4
Permafrost,1.115011071,0.4
Permafrost,1.098712931,0.4
Permafrost,1.240049772,0.4
Permafrost,1.230039981,0.4
Permafrost,1.258301976,0.4
Permafrost,1.145631415,0.4
Permafrost,0.241506635,-3
Permafrost,0.39814842,-3
Permafrost,0.305351369,-3
Permafrost,0.377626753,-3
Permafrost,2.031395859,-4.3
Seasonal frozen ground,1.15807528,2.5
Permafrost,,-3.9
Permafrost,1.086156163,-3.9
Permafrost,0.942142043,-3.9
Permafrost,1.245060268,-3.3
Permafrost,1.267113506,-3
Permafrost,0.678951547,-3
Permafrost,0.377634034,-3
Permafrost,0.52376207,-3
Permafrost,2.141161193,-4.3
Permafrost,1.999099208,-3.5
Permafrost,1.900397719,-3.5
Permafrost,1.767636664,-3.5
Permafrost,1.69592625,-3.5
Permafrost,2.074939985,-3
Permafrost,2.053700614,-3
Permafrost,2.05085208,-3
Permafrost,2.015931172,-3
Seasonal frozen ground,1.076591806,3.1
Seasonal frozen ground,1.179838928,3
Seasonal frozen ground,1.180068501,3
Seasonal frozen ground,1.18999534,3
Seasonal frozen ground,1.194292282,3
Seasonal frozen ground,1.114610984,3
Seasonal frozen ground,1.132835804,3
Seasonal frozen ground,1.122150319,3
Seasonal frozen ground,1.139123134,3
Seasonal frozen ground,2.048289813,3.1
Seasonal frozen ground,2.058427695,3.1
Permafrost,1.740687263,-2.2
Seasonal frozen ground,-0.606459893,4.6
Seasonal frozen ground,-0.674484337,4.6
Seasonal frozen ground,-0.206265477,4.5
Seasonal frozen ground,-0.328197933,4.5
Seasonal frozen ground,0.748018929,1.9
Seasonal frozen ground,0.615655515,1.7
Seasonal frozen ground,0.595760686,1.7
Seasonal frozen ground,0.537768739,1.7
Seasonal frozen ground,0.501387941,1.7
Seasonal frozen ground,0.61500683,1.7
Seasonal frozen ground,0.595760686,1.7
Seasonal frozen ground,0.535825584,1.7
Seasonal frozen ground,0.502230414,1.7
Seasonal frozen ground,1.176841072,1.9
Seasonal frozen ground,1.189641322,1.9
Seasonal frozen ground,1.341651321,1.9
Seasonal frozen ground,1.220505573,1.9
Seasonal frozen ground,0.98099906,1.9
Seasonal frozen ground,1.377300422,1.9
Seasonal frozen ground,1.227529357,1.9
Seasonal frozen ground,1.199996933,1.9
Seasonal frozen ground,0.785275723,1.9
Seasonal frozen ground,0.653388126,1.9
Seasonal frozen ground,0.530192012,1.9
Seasonal frozen ground,0.479572431,1.9
Seasonal frozen ground,0.544564097,1.9
Seasonal frozen ground,0.568858538,1.9
Seasonal frozen ground,0.687279192,1.9
Seasonal frozen ground,0.721051792,1.9
Seasonal frozen ground,0.648789214,1.9
Seasonal frozen ground,0.482873584,1.9
Seasonal frozen ground,0.571475904,1.9
Seasonal frozen ground,0.482873584,1.9
Seasonal frozen ground,0.555142835,1.9
Seasonal frozen ground,0.462278176,1.9
Seasonal frozen ground,0.647148153,1.9
Seasonal frozen ground,0.250478555,1.9
Seasonal frozen ground,0.501407106,1.9
Seasonal frozen ground,0.35758041,1.9
Seasonal frozen ground,0.557006452,1.9
Seasonal frozen ground,0.570356106,1.9
Seasonal frozen ground,0.392352194,1.9
Seasonal frozen ground,0.380374072,1.9
Seasonal frozen ground,0.336475744,1.9
Seasonal frozen ground,0.560064522,1.9
Seasonal frozen ground,1.161269751,1.9
Seasonal frozen ground,1.242474838,1.9
Seasonal frozen ground,0.447201459,1.9
Seasonal frozen ground,0.067160162,1.9
Seasonal frozen ground,0.479143248,1.9
