Type,log_stock,MTW
Permafrost,0.25411284,15.5
Permafrost,0.098048109,15.5
Permafrost,0.317294287,15.5
Permafrost,0.051715775,15.5
Permafrost,0.657602681,15.5
Permafrost,0.421899936,15.5
Permafrost,1.308090379,14.7833004
Permafrost,1.768744361,15.9499998
Permafrost,1.592652089,15.9499998
Permafrost,1.824685225,15.6167002
Permafrost,1.647134608,15.6167002
Permafrost,1.016072244,14.7666998
Permafrost,0.945587552,14.7666998
Permafrost,1.924498508,14.9666996
Permafrost,1.805313561,14.9666996
Permafrost,1.77214198,16.7833004
Permafrost,1.727843076,16.7833004
Permafrost,1.167440887,16.7833004
Permafrost,1.07317097,16.7833004
Permafrost,0.809929536,16.7833004
Permafrost,0.700785066,16.7833004
Permafrost,0.596049716,16.6833
Permafrost,0.633838277,16.6833
Permafrost,1.05803782,14.25
Permafrost,0.975085211,14.25
Permafrost,1.920520441,14.9666996
Permafrost,1.798160258,14.9666996
Permafrost,1.015042403,14.7666998
Permafrost,0.943829209,14.7666998
Permafrost,1.303860603,15.6499996
Permafrost,1.192786497,16.6667004
Permafrost,1.1551714,17.9167004
Permafrost,0.945244585,16.7667007
Permafrost,1.387603561,13.7166996
Permafrost,0.544028336,16.5832996
Permafrost,0.988929777,16.5832996
Seasonal frozen ground,0.447874027,22.8500004
Seasonal frozen ground,0.225526375,22.8500004
Seasonal frozen ground,0.24663643,22.8500004
Seasonal frozen ground,0.160102213,22.8500004
Seasonal frozen ground,0.112081925,22.8500004
Seasonal frozen ground,0.440329636,22.8500004
Seasonal frozen ground,0.242655701,22.8500004
Seasonal frozen ground,0.953193145,22.5333004
Seasonal frozen ground,0.955855087,22.5333004
Seasonal frozen ground,0.809195967,22.5333004
Seasonal frozen ground,0.838153663,22.5333004
Seasonal frozen ground,-0.295849483,22.4832993
Seasonal frozen ground,-0.156767222,22.4832993
Seasonal frozen ground,-0.145693958,22.4832993
Seasonal frozen ground,-0.199282922,22.4832993
Seasonal frozen ground,-0.225483034,22.4832993
Seasonal frozen ground,-0.164943898,22.4832993
Seasonal frozen ground,-0.206209615,22.4832993
Seasonal frozen ground,0.292256071,22.5499992
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.757273012,20.4832993
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.757273012,20.4832993
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.779382899,20.4832993
Seasonal frozen ground,0.757273012,20.4832993
Seasonal frozen ground,0.854777898,19.1833
Seasonal frozen ground,0.553184433,19
Seasonal frozen ground,0.351022885,22.5333004
Seasonal frozen ground,0.213995649,22.5333004
Seasonal frozen ground,0.476499429,22.0333004
Seasonal frozen ground,0.504961004,22.0333004
Seasonal frozen ground,0.472461181,22.0333004
Seasonal frozen ground,0.427144822,22.0333004
Seasonal frozen ground,0.536151093,21.7166996
Seasonal frozen ground,0.473156608,21.7166996
Seasonal frozen ground,0.345889756,21.7166996
Seasonal frozen ground,0.502116477,21.7166996
Seasonal frozen ground,0.202795432,21.4666996
Seasonal frozen ground,-0.022117322,21.4666996
Seasonal frozen ground,0.049334966,21.4666996
Seasonal frozen ground,0.08027149,21.4666996
Seasonal frozen ground,0.371082647,22.0667
Seasonal frozen ground,0.307234955,22.0667
Seasonal frozen ground,0.024805729,21.2166996
Seasonal frozen ground,0.171726454,21.2166996
Seasonal frozen ground,0.28057837,21.2166996
Seasonal frozen ground,0.265148139,21.2166996
Seasonal frozen ground,0.171726454,21.2166996
Seasonal frozen ground,0.363122888,19.9666996
Seasonal frozen ground,0.455986239,19.9832993
Seasonal frozen ground,0.140972885,19.9832993
Seasonal frozen ground,0.23363058,19.9666996
Seasonal frozen ground,0.86890294,18.1833
Seasonal frozen ground,0.879898324,18.1833
Seasonal frozen ground,0.851869601,18.1833
Seasonal frozen ground,0.86890294,18.1833
Seasonal frozen ground,0.911306789,18.1833
Seasonal frozen ground,0.906227263,18.1833
Seasonal frozen ground,-0.02974613,22.7166996
Seasonal frozen ground,0.131105162,22.7166996
Seasonal frozen ground,-0.015022874,22.7166996
Seasonal frozen ground,0.17995373,22.7166996
Seasonal frozen ground,-0.000782434,22.7166996
Seasonal frozen ground,-0.000782434,22.7166996
