Type,Ecosystem,Ecosystem,Mycorrhiza,soc_stock,log_stock,MAT
Seasonal frozen ground,Grassland,Upland,EcM,0.632,-0.199282922,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.595,-0.225483034,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.684,-0.164943898,7.7
Seasonal frozen ground,Grassland,Upland,EcM,0.622,-0.206209615,7.7
Seasonal frozen ground,Wetland,Wetland,AM,11.928664,1.076591806,3.1
Seasonal frozen ground,Grassland,Upland,AM,1.96,0.292256071,5.5
Seasonal frozen ground,Wetland,Wetland,NM,15.13,1.179838928,3
Seasonal frozen ground,Wetland,Wetland,EcM,15.138,1.180068501,3
Seasonal frozen ground,Wetland,Wetland,EcM,15.488,1.18999534,3
Seasonal frozen ground,Wetland,Wetland,EcM,15.642,1.194292282,3
Seasonal frozen ground,Wetland,Wetland,NM,13.02,1.114610984,3
Seasonal frozen ground,Wetland,Wetland,EcM,13.578,1.132835804,3
Seasonal frozen ground,Wetland,Wetland,EcM,13.248,1.122150319,3
Seasonal frozen ground,Wetland,Wetland,EcM,13.776,1.139123134,3
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.3
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.7
Seasonal frozen ground,Grassland,Upland,NM,5.71838,0.757273012,4.2
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.3
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.7
Seasonal frozen ground,Grassland,Upland,NM,5.71838,0.757273012,4.2
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.3
Seasonal frozen ground,Grassland,Upland,NM,6.01704,0.779382899,4.7
Seasonal frozen ground,Grassland,Upland,NM,5.71838,0.757273012,4.2
Seasonal frozen ground,Wetland,Wetland,AM,111.76088,2.048289813,3.1
Seasonal frozen ground,Wetland,Wetland,AM,114.40044,2.058427695,3.1
Seasonal frozen ground,Grassland,Upland,AM,7.157772622,0.854777898,0.4
Seasonal frozen ground,Forest,Upland,EcM,3.57424594,0.553184433,0.4
Seasonal frozen ground,Grassland,Upland,AM,2.24400017,0.351022885,4
