lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_16,bio_17,NDVI,LAI,FPAR
51.13,125.14,Permafrost,Forest,EcM,1.727843076,3.91318,0.866579,0.237442646,0.0913934,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.167440887,4.22924,0.827763,0.226807062,0.0903005,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.07317097,4.18488,0.858816,0.235315584,0.0875683,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,0.809929536,4.24033,1.17711,0.32252814,0.0919399,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,0.700785066,4.29024,1.35566,0.37145084,0.0903005,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.596049716,4.81701,0.408553,0.111943522,0.0913934,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,334,14,0.419549,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.633838277,4.80592,0.369737,0.101307938,0.090847,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,334,14,0.419549,2.947161572,0.684847162
52,123,Permafrost,Forest,EcM,1.05803782,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.152824016,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Forest,EcM,0.975085211,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.183968401,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
52.28,122.28,Permafrost,Forest,EcM,1.920520441,4.74,0.250276001,0.079087216,0.03072595,-4.2,438,17.6648006,1708.640015,105.3010025,14.9666996,-26.8666992,318,15,15.7333002,60.2000008,14.9666996,-26.8666992,318,15,0.36229,2.472052402,0.647510917
52.28,122.28,Permafrost,Forest,EcM,1.798160258,4.82,0.250276001,0.079087216,0.03072595,-4.2,438,17.6648006,1708.640015,105.3010025,14.9666996,-26.8666992,318,15,15.7333002,60.2000008,14.9666996,-26.8666992,318,15,0.36229,2.472052402,0.647510917
51.89,121.9,Permafrost,Forest,EcM,1.015042403,5.36,0.434451996,0.119039847,0.035086131,-4.2,438,6.1280398,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,319,15,0.375984,2.818777293,0.692969432
51.89,121.9,Permafrost,Forest,EcM,0.943829209,5.42,0.434451996,0.119039847,0.035086131,-4.2,438,6.1280398,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,319,15,0.375984,2.818777293,0.692969432
51.58,124.28,Permafrost,Wetland,ErM,2.119476188,4.23,0.245278,0.077507848,0.030343883,-3.6,498,12.6618004,1592.560059,104.8899994,15.2166996,-23.7833004,345,12,14.8832998,57.2000008,15.2166996,-23.7833004,345,12,0.485953,3.569432314,0.725633188
52.25,122.64,Permafrost,Wetland,ErM,2.034916623,4.88462,0.247783997,0.078299743,0.030954852,-5,430,12.7136002,1635.189941,102.4919968,14.25,-25.75,335,15,15.0916996,57.7999992,14.25,-25.75,335,15,0.376985,2.88209607,0.682751092
52.94,122.86,Permafrost,Wetland,EcM,1.948295573,4.83,6.78,1.85772,0.043007055,-3.9,450,13.6177998,1736.969971,103.413002,16.2166996,-26.2166996,297,14,15.6000004,60.4000015,16.2166996,-26.2166996,297,14,0.393078,2.487336245,0.652576419
52.42,122.87,Permafrost,Wetland,ErM,2.126170385,4.6,3.627,0.993798,0.035699756,-3.9,452,12.1788998,1643.910034,103.3059998,14.8999996,-25.2999992,325,15,14.9750004,57.7999992,14.8999996,-25.2999992,325,15,0.430922,3.145414847,0.686331878
52.42,122.87,Permafrost,Wetland,ErM,2.046276596,4.6,3.186,0.872964,0.035699756,-3.9,452,12.1788998,1643.910034,103.3059998,14.8999996,-25.2999992,325,15,14.9750004,57.7999992,14.8999996,-25.2999992,325,15,0.430922,3.145414847,0.686331878
52.94,122.86,Permafrost,Wetland,EcM,1.856897985,7.0999999,6.8,1.5096,1,-3.9,450,13.6177998,1736.969971,103.413002,16.2166996,-26.2166996,297,14,15.6000004,60.4000015,16.2166996,-26.2166996,297,14,0.393078,2.487336245,0.652576419
52.94,122.86,Permafrost,Wetland,EcM,1.948295573,7.0999999,5.6,1.5344,0.56,-3.9,450,13.6177998,1736.969971,103.413002,16.2166996,-26.2166996,297,14,15.6000004,60.4000015,16.2166996,-26.2166996,297,14,0.393078,2.487336245,0.652576419
47.58,133.52,Seasonally frozen ground,Wetland,AM,1.202673547,5.7,0.442911011,0.121357617,0.034597081,2.5,580,21.0009003,1566.76001,86.3098984,19.9832993,-18.75,340,27,10.7166996,53.0999985,19.9832993,-18.75,340,27,0.304837,1.891629956,0.558898678
48.12,128.63,Permafrost,Wetland,EcM,1.072617477,7.0999999,0.397799988,0.015912,0.246105003,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.173535895,7.0999999,0.397799988,0.015912,0.246105003,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.151614972,7.0999999,0.397799988,0.023867999,0.164070002,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
