lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_13,bio_14,bio_16,bio_17,NDVI,LAI,FPAR
51.13,125.14,Permafrost,Wetland,AM,1.79813941,6.6999998,0.390397003,0.086668135,0.045767566,-3,490,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
52.99,122.11,Permafrost,Forest,EcM,1.924500317,6.6999998,0.428622009,0.095154086,0.055720722,-4.2,438,9.2787199,1746.900024,104.1029968,15.9499998,-26.7999992,292,15,16.125,61.4000015,15.9499998,-22.2000008,114,4,292,15,0.378652,2.407423581,0.637379913
52.99,122.11,Permafrost,Forest,EcM,1.899195117,6.6999998,0.428622009,0.095154086,0.055720722,-4.2,438,9.2787199,1746.900024,104.1029968,15.9499998,-26.7999992,292,15,16.125,61.4000015,15.9499998,-22.2000008,114,4,292,15,0.378652,2.407423581,0.637379913
52.99,122.11,Permafrost,Forest,EcM,1.833693596,6.6999998,0.428622009,0.095154086,0.055720722,-4.2,438,9.2787199,1746.900024,104.1029968,15.9499998,-26.7999992,292,15,16.125,61.4000015,15.9499998,-22.2000008,114,4,292,15,0.378652,2.407423581,0.637379913
53.04,122.05,Permafrost,Forest,EcM,2.052854551,6,0.264035004,0.078154361,0.040617569,-4.2,438,12.1511002,1716.719971,103.7850037,15.6167002,-26.3666992,295,14,15.8416996,60.2999992,15.6167002,-26.3666992,115,4,295,14,0.399646,2.663318777,0.672489083
53.04,122.05,Permafrost,Forest,EcM,2.019301339,6,0.264035004,0.078154361,0.040617569,-4.2,438,12.1511002,1716.719971,103.7850037,15.6167002,-26.3666992,295,14,15.8416996,60.2999992,15.6167002,-26.3666992,115,4,295,14,0.399646,2.663318777,0.672489083
53.04,122.05,Permafrost,Forest,EcM,1.943249026,6,0.264035004,0.078154361,0.040617569,-4.2,438,12.1511002,1716.719971,103.7850037,15.6167002,-26.3666992,295,14,15.8416996,60.2999992,15.6167002,-26.3666992,115,4,295,14,0.399646,2.663318777,0.672489083
51.89,121.91,Permafrost,Forest,EcM,0.996474887,6.6999998,0.434451996,0.096448343,0.043304504,-4.2,438,4.9176002,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,3.121834061,0.707772926
51.89,121.91,Permafrost,Forest,EcM,0.962056891,6.6999998,0.434451996,0.096448343,0.043304504,-4.2,438,4.9176002,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,3.121834061,0.707772926
51.89,121.91,Permafrost,Forest,EcM,0.956045542,6.6999998,0.434451996,0.096448343,0.043304504,-4.2,438,4.9176002,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,3.121834061,0.707772926
52.28,122.29,Permafrost,Forest,EcM,1.844516441,6,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1707.689941,105.0749969,14.9666996,-26.8500004,318,15,15.7082996,60.2000008,14.9666996,-26.8500004,125,4,318,15,0.352671,2.472052402,0.647510917
52.28,122.29,Permafrost,Forest,EcM,1.718272573,6,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1707.689941,105.0749969,14.9666996,-26.8500004,318,15,15.7082996,60.2000008,14.9666996,-26.8500004,125,4,318,15,0.352671,2.472052402,0.647510917
52.28,122.29,Permafrost,Forest,EcM,1.867379418,6,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1707.689941,105.0749969,14.9666996,-26.8500004,318,15,15.7082996,60.2000008,14.9666996,-26.8500004,125,4,318,15,0.352671,2.472052402,0.647510917
51.13,125.14,Permafrost,Forest,EcM,1.730432067,4.13498,1.42553,0.31646766,0.154781,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.701306121,3.99081,1.17711,0.26131842,0.155328,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.484450321,4.39005,1.50316,0.33370152,0.155328,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.366349429,4.25142,0.851053,0.188933766,0.129645,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.360886113,4.18488,1.51092,0.33542424,0.11653,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,0.981773382,4.20152,1.61961,0.35955342,0.095765,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,135,4,331,15,0.370996,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.894623206,4.81147,0.656974,0.145848228,0.10123,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,136,4,334,14,0.419549,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.718531947,4.8281,0.462895,0.10276269,0.0946721,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,136,4,334,14,0.419549,2.947161572,0.684847162
52,123,Permafrost,Forest,EcM,1.454283965,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Forest,EcM,1.180286549,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.700526159,6.0999999,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.572193743,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Forest,EcM,1.388337628,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Forest,EcM,1.247718149,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.660723725,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.582527317,6,0.246020004,0.072821921,0.033027703,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,140,5,351,16,0.467418,3.226637555,0.695764192
53.47,122.33,Permafrost,Forest,EcM,1.023188237,5.53,0.322816986,0.065209031,0.059518814,-3.3,442.95,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.35,Permafrost,Forest,EcM,1.006705587,5.57,0.324446014,0.068133663,0.057251431,-3.3,442.95,14.1899996,1810.280029,100.8499985,16.9500008,-27.25,271,14,15.8083,62.5999985,16.9500008,-27.25,105,4,271,14,0.290662,2.675982533,0.669868996
53.45,122.23,Permafrost,Forest,EcM,0.91944421,4.65,0.268052002,0.038063384,0.084667609,-3.3,442.95,16.2763996,1728.680054,102.6190033,16.2999992,-25.9500008,279,12,15.0333004,60,16.2999992,-25.9500008,109,3,279,12,0.462829,3.663755459,0.767292576
