Factor,Factor1,IncMSE,%IncMSE.pval,Group,R2
pH,Soil,17.1069,0.00990099,Permafrost,0.8088
MAT,Climate,16.45303,0.00990099,Permafrost,0.8088
MBC,Soil,15.08485,0.00990099,Permafrost,0.8088
NDSI,Climate,14.79006,0.00990099,Permafrost,0.8088
NDVI,Plant,13.89885,0.00990099,Permafrost,0.8088
MAP,Climate,12.50303,0.00990099,Permafrost,0.8088
MT,Plant,10.16328,0.00990099,Permafrost,0.8088
MAP,Climate,18.430875,0.00990099,Seasonal,0.8588
MAT,Climate,16.8728,0.00990099,Seasonal,0.8588
NDSI,Climate,16.360519,0.00990099,Seasonal,0.8588
MBC,Soil,14.337835,0.00990099,Seasonal,0.8588
pH,Soil,13.434484,0.00990099,Seasonal,0.8588
MT,Plant,12.392273,0.00990099,Seasonal,0.8588
NDVI,Plant,8.171215,0.02970297,Seasonal,0.8588
MAP,Climate,16.83732,0.00990099,Wetland,0.8647
MAT,Climate,16.73448,0.00990099,Wetland,0.8647
NDSI,Climate,16.52053,0.00990099,Wetland,0.8647
pH,Soil,15.01637,0.00990099,Wetland,0.8647
MT,Plant,12.84261,0.00990099,Wetland,0.8647
MBC,Soil,11.51228,0.00990099,Wetland,0.8647
NDVI,Plant,10.53641,0.00990099,Wetland,0.8647
MBC,Soil,21.9856739,0.00990099,Forest,0.8203
MAT,Climate,21.3566386,0.00990099,Forest,0.8203
NDSI,Climate,18.8097546,0.00990099,Forest,0.8203
NDVI,Plant,13.9762514,0.00990099,Forest,0.8203
MAP,Climate,13.8811356,0.00990099,Forest,0.8203
pH,Soil,9.2986716,0.01980198,Forest,0.8203
MT,Plant,,0.3960396,Forest,0.8203
MBC,Soil,21.102259,0.00990099,Grassland,0.8359
NDSI,Climate,16.54615,0.00990099,Grassland,0.8359
pH,Soil,16.151161,0.00990099,Grassland,0.8359
MAT,Climate,13.814244,0.00990099,Grassland,0.8359
MAP,Climate,11.840554,0.02970297,Grassland,0.8359
MT,Plant,11.185532,0.02970297,Grassland,0.8359
NDVI,Plant,,0.08910891,Grassland,0.8359
MAT,Climate,19.53838,0.00990099,All,0.8756
NDSI,Climate,15.958682,0.00990099,All,0.8756
MAP,Climate,15.913072,0.00990099,All,0.8756
MBC,Soil,15.306154,0.00990099,All,0.8756
pH,Soil,12.774556,0.00990099,All,0.8756
MT,Plant,10.661508,0.00990099,All,0.8756
NDVI,Plant,9.847648,0.00990099,All,0.8756
